,coef,name
0,5100.841855358846,AGO
1,686.2315558197208,ALB
2,35324.70706221176,ARG
3,30639.137094350233,AUS
4,1369.985221717326,AUT
5,2235.197531940037,AZE
6,854.0975860466692,BEL
7,3229.2012880479438,BEN
8,5804.649971382416,BFA
9,8451.701039734795,BGD
10,3388.2750332761516,BGR
11,1130.787350467735,BIH
12,117.47910841146776,BLZ
13,4254.585529485037,BOL
14,55114.048039361,BRA
15,289.5653988969993,BWA
16,1810.11180188722,CAF
17,35791.96920544545,CAN
18,416.8495599437949,CHE
19,1713.82342933532,CHL
20,129463.93109848216,CHN
21,7800.681595373571,CIV
22,7517.124992744567,CMR
23,5933.839569530733,COL
24,550.1405116032893,CRI
25,115.44364743377604,CYP
26,2426.4174700312615,CZE
27,11677.141656262698,DEU
28,2371.078071077547,DNK
29,1214.4959962649816,DOM
30,8362.302915179327,DZA
31,2360.2100330604117,ECU
32,3722.4628158433497,EGY
33,16244.601791203462,ESP
34,249.354235468743,FJI
35,18801.80705117723,FRA
36,485.79591726032913,GAB
37,5975.79513579899,GBR
38,454.65477752783505,GEO
39,7183.885557675006,GHA
40,3554.8277279777467,GIN
41,417.61574700921767,GMB
42,534.7736189021653,GNB
43,2943.1387520465432,GRC
44,1916.4068186879344,GTM
45,461.4803985326675,GUY
46,1532.6264546827138,HND
47,862.781371605433,HRV
48,1334.9462231104803,HTI
49,4266.726589779942,HUN
50,45713.62896062182,IDN
51,161043.9263365049,IND
52,456.9285731249785,IRL
53,16400.629336946244,IRN
54,419.4435612458562,ISR
55,8744.333689942161,ITA
56,286.6773809660284,JOR
57,4425.253331580275,JPN
58,29047.128244849362,KAZ
59,6271.091190607289,KEN
60,1354.3566903357164,KGZ
61,3992.7762877266937,KHM
62,4.965167250987707,KNA
63,1615.7119281998628,KOR
64,1767.5356003353313,LAO
65,243.0938550168006,LBN
66,2181.075692893321,LKA
67,2166.562436703923,LTU
68,63.03625948947845,LUX
69,1244.8802267883136,LVA
70,8819.817510151699,MAR
71,1874.451801200529,MDA
72,3537.8068303900886,MDG
73,24421.59812610706,MEX
74,452.2203541970492,MKD
75,6353.500680340834,MLI
76,11719.43993372305,MMR
77,3651.4196907887263,MWI
78,6963.595933611801,MYS
79,38166.429178670536,NGA
80,1765.356586921389,NIC
81,1062.1975694011903,NLD
82,807.246925808572,NOR
83,2296.892472729522,NPL
84,30974.540423567414,PAK
85,747.6729614483246,PAN
86,4792.049567381515,PER
87,9974.649401085344,PHL
88,11065.142584391957,POL
89,3928.4019636311923,PRY
90,8709.451167459887,ROU
91,120712.74671970162,RUS
92,1381.3877957073496,RWA
93,18753.2130059763,SDN
94,3053.8409852495356,SEN
95,895.9554431505562,SLV
96,2697.0892947967495,SRB
97,1302.329486001404,SVK
98,235.75384905620427,SVN
99,2553.030180174819,SWE
100,188.38273494052345,SWZ
101,4952.143562724525,TCD
102,2770.903904263081,TGO
103,21065.817561588912,THA
104,4602.084246917081,TUN
105,23172.81322598314,TUR
106,8865.458775116826,UGA
107,31667.791488650673,UKR
108,1862.7673308112503,URY
109,150483.81756661303,USA
110,4.863390906222905,VCT
111,3265.1689812339087,VEN
112,11085.179048450336,VNM
113,1401.5331079343368,YEM
114,12086.845597283489,ZAF
115,3701.0285392776404,ZMB
116,4013.416486918959,ZWE
117,0.23582916237774043,comp
