ISO,Year,Item,FPi
AFG,2014,"Tangerines, mandarins, clementines, satsumas",0.0
AFG,2014,Taro (cocoyam),0.0
AFG,2014,Tea,0.0
AFG,2014,Tomatoes,0.0
AFG,2014,Vanilla,0.0
AFG,2014,"Vegetables, fresh nes",775.178
AFG,2014,"Vegetables, leguminous nes",0.0
AFG,2014,"Walnuts, with shell",10.426
AFG,2014,Watermelons,301.409
AFG,2014,Wheat,5370.259
AFG,2014,Yams,0.0
AFG,2015,"Almonds, with shell",24.246000000000002
AFG,2015,"Anise, badian, fennel, coriander",18.0
AFG,2015,Apples,89.733
AFG,2015,Apricots,87.686
AFG,2015,Areca nuts,0.0
AFG,2015,Artichokes,0.0
AFG,2015,Asparagus,0.0
AFG,2015,Avocados,0.0
AFG,2015,Bananas,0.0
AFG,2015,Barley,403.0
AFG,2015,"Beans, dry",0.0
AFG,2015,"Beans, green",0.0
AFG,2015,Berries nes,24.858
AFG,2015,"Brazil nuts, with shell",0.0
AFG,2015,"Broad beans, horse beans, dry",0.0
AFG,2015,Buckwheat,0.0
AFG,2015,Cabbages and other brassicas,0.0
AFG,2015,Canary seed,0.0
AFG,2015,Carrots and turnips,0.019
AFG,2015,"Cashew nuts, with shell",0.0
AFG,2015,Castor oil seed,0.0
AFG,2015,Cauliflowers and broccoli,0.0
AFG,2015,Cereals nes,0.0
AFG,2015,Cherries,0.001
AFG,2015,"Cherries, sour",0.002
AFG,2015,Chestnut,0.0
AFG,2015,Chick peas,0.0
AFG,2015,Chicory roots,0.0
AFG,2015,"Chillies and peppers, dry",0.0
AFG,2015,"Chillies and peppers, green",0.0
AFG,2015,Cinnamon (cannella),0.0
AFG,2015,Cloves,0.0
AFG,2015,"Cocoa, beans",0.0
AFG,2015,Coconuts,0.0
AFG,2015,"Coffee, green",0.0
AFG,2015,Cucumbers and gherkins,1.327
AFG,2015,Dates,0.003
AFG,2015,Eggplants (aubergines),0.002
AFG,2015,"Eggs, hen, in shell",19.844
AFG,2015,"Eggs, other bird, in shell",0.0
AFG,2015,"Fat, camels",0.246
AFG,2015,"Fat, cattle",3.346
AFG,2015,"Fat, goats",1.743
AFG,2015,"Fat, sheep",5.981
AFG,2015,Figs,4.996
AFG,2015,"Fruit, citrus nes",3.132
AFG,2015,"Fruit, fresh nes",63.948
AFG,2015,"Fruit, stone nes",49.725
AFG,2015,"Fruit, tropical fresh nes",0.0
AFG,2015,Garlic,0.0
AFG,2015,Ginger,0.0
AFG,2015,Grapefruit (inc. pomelos),0.0
AFG,2015,Grapes,805.072
AFG,2015,"Groundnuts, with shell",0.0
AFG,2015,"Hazelnuts, with shell",0.0
AFG,2015,Hempseed,0.0
AFG,2015,"Honey, natural",1.719
AFG,2015,Kiwi fruit,0.0
AFG,2015,"Leeks, other alliaceous vegetables",0.0
AFG,2015,Lemons and limes,0.0
AFG,2015,Lentils,0.0
AFG,2015,Lettuce and chicory,0.0
AFG,2015,Linseed,2.137
AFG,2015,Maize,316.0
AFG,2015,"Maize, green",0.0
AFG,2015,"Mangoes, mangosteens, guavas",0.0
AFG,2015,Meat nes,0.0
AFG,2015,"Meat, buffalo",0.0
AFG,2015,"Meat, camel",3.515
AFG,2015,"Meat, cattle",136.428
AFG,2015,"Meat, chicken",23.968
AFG,2015,"Meat, duck",0.0
AFG,2015,"Meat, game",7.99
AFG,2015,"Meat, goat",47.447
AFG,2015,"Meat, goose and guinea fowl",0.0
AFG,2015,"Meat, pig",0.0
AFG,2015,"Meat, rabbit",0.0
AFG,2015,"Meat, sheep",106.322
AFG,2015,"Meat, turkey",0.0
AFG,2015,"Melons, other (inc.cantaloupes)",302.067
AFG,2015,Melonseed,0.0
AFG,2015,"Milk, whole fresh camel",6.787
AFG,2015,"Milk, whole fresh cow",1868.3110000000001
AFG,2015,"Milk, whole fresh goat",115.778
AFG,2015,"Milk, whole fresh sheep",199.82500000000002
AFG,2015,Millet,14.111
AFG,2015,Mushrooms and truffles,0.0
AFG,2015,Mustard seed,0.0
AFG,2015,"Nutmeg, mace and cardamoms",0.0
AFG,2015,Nuts nes,1.6500000000000001
AFG,2015,Oats,0.0
AFG,2015,Offals nes,0.0
AFG,2015,"Offals, edible, camels",0.527
AFG,2015,"Offals, edible, cattle",23.939
AFG,2015,"Offals, edible, goats",9.199
AFG,2015,"Offals, liver chicken",0.0
AFG,2015,"Offals, liver geese",0.0
AFG,2015,"Offals, liver turkeys",0.0
AFG,2015,"Offals, pigs, edible",0.0
AFG,2015,"Offals, sheep,edible",21.707
AFG,2015,Oilseeds nes,0.0
AFG,2015,Olives,7.381
AFG,2015,"Onions, dry",197.851
AFG,2015,Oranges,4.926
AFG,2015,Papayas,0.0
AFG,2015,Peaches and nectarines,27.934
AFG,2015,Pears,5.058
AFG,2015,"Peas, dry",0.0
AFG,2015,"Peas, green",0.0
AFG,2015,Pepper (piper spp.),0.0
AFG,2015,Persimmons,0.0
AFG,2015,Pigeon peas,0.0
AFG,2015,Pineapples,0.0
AFG,2015,Pistachios,2.739
AFG,2015,Plantains and others,0.0
AFG,2015,Plums and sloes,33.397
AFG,2015,Poppy seed,0.0
AFG,2015,Potatoes,327.507
AFG,2015,Pulses nes,105.514
AFG,2015,"Pumpkins, squash and gourds",0.0
AFG,2015,Quinces,0.0
AFG,2015,Quinoa,0.0
AFG,2015,Rapeseed,0.0
AFG,2015,Raspberries,0.0
