ISO,Year,Item,FLOi
EGY,2017,"Meat, goat",0.0
EGY,2017,"Meat, goose and guinea fowl",0.0
EGY,2017,"Meat, horse",0.0
EGY,2017,"Meat, pig",0.0
EGY,2017,"Meat, rabbit",0.0
EGY,2017,"Meat, sheep",0.0
EGY,2017,"Meat, turkey",0.0
EGY,2017,"Melons, other (inc.cantaloupes)",53.783
EGY,2017,Melonseed,0.0
EGY,2017,"Milk, whole fresh buffalo",117.556
EGY,2017,"Milk, whole fresh cow",266.134
EGY,2017,"Milk, whole fresh goat",1.462
EGY,2017,"Milk, whole fresh sheep",4.728
EGY,2017,Millet,0.0
EGY,2017,Mushrooms and truffles,0.0
EGY,2017,Mustard seed,0.0
EGY,2017,"Nutmeg, mace and cardamoms",0.0
EGY,2017,Nuts nes,0.201
EGY,2017,Oats,0.0
EGY,2017,Offals nes,0.0
EGY,2017,"Offals, edible, buffaloes",0.0
EGY,2017,"Offals, edible, camels",0.0
EGY,2017,"Offals, edible, cattle",4.718
EGY,2017,"Offals, edible, goats",0.494
EGY,2017,"Offals, pigs, edible",0.004
EGY,2017,"Offals, sheep,edible",0.0
EGY,2017,Oilseeds nes,0.0
EGY,2017,Okra,0.0
EGY,2017,Olives,162.0
EGY,2017,"Onions, dry",248.333
EGY,2017,Oranges,263.60200000000003
EGY,2017,Papayas,0.0
EGY,2017,Peaches and nectarines,35.631
EGY,2017,Pears,6.46
EGY,2017,"Peas, dry",0.043000000000000003
EGY,2017,"Peas, green",16.808
EGY,2017,Pepper (piper spp.),0.0
EGY,2017,Persimmons,0.0
EGY,2017,Pineapples,0.0
EGY,2017,Pistachios,0.0
EGY,2017,Plantains and others,0.0
EGY,2017,Plums and sloes,1.246
EGY,2017,Poppy seed,0.0
EGY,2017,Potatoes,953.0
EGY,2017,Pulses nes,0.35100000000000003
EGY,2017,"Pumpkins, squash and gourds",39.033
EGY,2017,Quinces,0.004
EGY,2017,Quinoa,0.0
EGY,2017,Rapeseed,0.0
EGY,2017,Raspberries,0.0
EGY,2017,"Rice, paddy",178.0
EGY,2017,Roots and tubers nes,0.657
EGY,2017,Rye,7.0520000000000005
EGY,2017,Safflower seed,0.0
EGY,2017,Sesame seed,4.0
EGY,2017,Sorghum,36.0
EGY,2017,Soybeans,30.0
EGY,2017,Spices nes,0.0
EGY,2017,Spinach,2.297
EGY,2017,Strawberries,26.712
EGY,2017,String beans,0.0
EGY,2017,Sugar beet,81.0
EGY,2017,Sugar cane,133.642
EGY,2017,Sunflower seed,5.0
EGY,2017,Sweet corn frozen,0.0
EGY,2017,Sweet corn prep or preserved,0.0
EGY,2017,Sweet potatoes,39.0
EGY,2017,"Tangerines, mandarins, clementines, satsumas",87.107
EGY,2017,Taro (cocoyam),18.0
EGY,2017,Tea,0.0
EGY,2017,Tomatoes,563.544
EGY,2017,Vanilla,0.0
EGY,2017,"Vegetables, fresh nes",57.54
EGY,2017,"Vegetables, leguminous nes",4.066
EGY,2017,Vetches,0.08600000000000001
EGY,2017,"Walnuts, with shell",1.296
EGY,2017,Watermelons,103.20400000000001
EGY,2017,Wheat,1884.554
EGY,2018,"Almonds, with shell",0.0
EGY,2018,"Anise, badian, fennel, coriander",2.085
EGY,2018,Apples,59.02
EGY,2018,Apricots,8.362
EGY,2018,Artichokes,28.591
EGY,2018,Asparagus,0.0
EGY,2018,Avocados,0.0
EGY,2018,Bambara beans,0.0
EGY,2018,Bananas,116.26
EGY,2018,Barley,5.0
EGY,2018,"Beans, dry",1.0
EGY,2018,"Beans, green",23.81
EGY,2018,Berries nes,0.047
EGY,2018,"Brazil nuts, with shell",0.0
EGY,2018,"Broad beans, horse beans, dry",45.0
EGY,2018,Buckwheat,0.0
EGY,2018,Cabbages and other brassicas,44.002
EGY,2018,Canary seed,0.0
EGY,2018,Carobs,0.0
EGY,2018,Carrots and turnips,22.298000000000002
EGY,2018,"Cashew nuts, with shell",0.0
EGY,2018,Cauliflowers and broccoli,10.659
EGY,2018,Cereals nes,0.0
EGY,2018,Cherries,0.0
EGY,2018,"Cherries, sour",0.0
EGY,2018,Chestnut,0.0
EGY,2018,Chick peas,2.0
EGY,2018,Chicory roots,0.0
EGY,2018,"Chillies and peppers, dry",3.177
EGY,2018,"Chillies and peppers, green",59.776
EGY,2018,Cinnamon (cannella),0.0
EGY,2018,Cloves,0.0
EGY,2018,"Cocoa, beans",0.0
EGY,2018,Coconuts,0.0
EGY,2018,"Coffee, green",0.0
EGY,2018,"Cow peas, dry",0.296
EGY,2018,Cranberries,0.0
EGY,2018,Cucumbers and gherkins,38.34
EGY,2018,Currants,0.0
EGY,2018,Dates,156.635
EGY,2018,Eggplants (aubergines),118.019
EGY,2018,"Eggs, hen, in shell",20.857
EGY,2018,"Fat, buffaloes",0.0
EGY,2018,"Fat, camels",0.0
EGY,2018,"Fat, cattle",0.8140000000000001
EGY,2018,"Fat, goats",0.0
EGY,2018,"Fat, pigs",0.0
EGY,2018,"Fat, sheep",0.0
EGY,2018,Figs,15.857000000000001
EGY,2018,"Fruit, citrus nes",0.493
EGY,2018,"Fruit, fresh nes",46.19
EGY,2018,"Fruit, stone nes",0.0
EGY,2018,"Fruit, tropical fresh nes",0.0
EGY,2018,Garlic,23.97
EGY,2018,Ginger,0.0
EGY,2018,"Grain, mixed",0.0
EGY,2018,Grapefruit (inc. pomelos),0.153
EGY,2018,Grapes,147.353
EGY,2018,"Groundnuts, with shell",16.0
EGY,2018,"Hazelnuts, with shell",0.0
EGY,2018,Hempseed,0.0
EGY,2018,"Honey, natural",0.214
EGY,2018,Kiwi fruit,0.0
EGY,2018,"Leeks, other alliaceous vegetables",0.0
EGY,2018,Lemons and limes,29.573
EGY,2018,Lentils,11.0
EGY,2018,Lettuce and chicory,7.577
EGY,2018,Linseed,0.639
EGY,2018,Lupins,0.01
EGY,2018,Maize,1005.965
EGY,2018,"Mangoes, mangosteens, guavas",109.532
EGY,2018,Maté,0.0
EGY,2018,Meat nes,0.0
EGY,2018,"Meat, bird nes",0.0
EGY,2018,"Meat, buffalo",0.0
EGY,2018,"Meat, camel",0.0
EGY,2018,"Meat, cattle",0.0
EGY,2018,"Meat, chicken",0.0
EGY,2018,"Meat, duck",0.0
EGY,2018,"Meat, game",0.0
EGY,2018,"Meat, goat",0.0
EGY,2018,"Meat, goose and guinea fowl",0.0
EGY,2018,"Meat, horse",0.0
EGY,2018,"Meat, pig",0.0
EGY,2018,"Meat, rabbit",0.0
EGY,2018,"Meat, sheep",0.0
EGY,2018,"Meat, turkey",0.0
EGY,2018,"Melons, other (inc.cantaloupes)",58.714
EGY,2018,Melonseed,0.0
EGY,2018,"Milk, whole fresh buffalo",110.57600000000001
EGY,2018,"Milk, whole fresh cow",201.011
EGY,2018,"Milk, whole fresh goat",1.482
EGY,2018,"Milk, whole fresh sheep",4.88
EGY,2018,Millet,0.0
EGY,2018,Mushrooms and truffles,0.0
EGY,2018,Mustard seed,0.0
EGY,2018,"Nutmeg, mace and cardamoms",0.0
EGY,2018,Nuts nes,0.332
EGY,2018,Oats,0.0
EGY,2018,Offals nes,0.0
EGY,2018,"Offals, edible, buffaloes",0.0
EGY,2018,"Offals, edible, camels",0.0
EGY,2018,"Offals, edible, cattle",4.121
EGY,2018,"Offals, edible, goats",0.7010000000000001
EGY,2018,"Offals, pigs, edible",0.003
EGY,2018,"Offals, sheep,edible",0.0
EGY,2018,Oilseeds nes,0.0
EGY,2018,Okra,0.0
EGY,2018,Olives,163.0
EGY,2018,"Onions, dry",247.755
EGY,2018,Oranges,271.88800000000003
EGY,2018,Papayas,0.0
EGY,2018,Peaches and nectarines,20.664
EGY,2018,Pears,6.015000000000001
EGY,2018,"Peas, dry",0.041
EGY,2018,"Peas, green",16.981
EGY,2018,Pepper (piper spp.),0.0
EGY,2018,Persimmons,0.0
EGY,2018,Pineapples,0.0
EGY,2018,Pistachios,0.0
EGY,2018,Plantains and others,0.0
EGY,2018,Plums and sloes,2.9090000000000003
EGY,2018,Poppy seed,0.0
EGY,2018,Potatoes,1091.0
EGY,2018,Pulses nes,0.34600000000000003
EGY,2018,"Pumpkins, squash and gourds",39.972
EGY,2018,Quinces,0.004
EGY,2018,Quinoa,0.0
EGY,2018,Rapeseed,0.0
EGY,2018,Raspberries,0.0
EGY,2018,"Rice, paddy",167.0
EGY,2018,Roots and tubers nes,0.665
EGY,2018,Rye,7.1080000000000005
EGY,2018,Safflower seed,0.0
EGY,2018,Sesame seed,2.0
EGY,2018,Sorghum,45.0
EGY,2018,Soybeans,191.0
EGY,2018,Spices nes,0.0
EGY,2018,Spinach,2.311
EGY,2018,Strawberries,30.37
EGY,2018,String beans,0.0
EGY,2018,Sugar beet,77.0
EGY,2018,Sugar cane,137.416
EGY,2018,Sunflower seed,6.0
EGY,2018,Sweet corn frozen,0.0
EGY,2018,Sweet corn prep or preserved,0.0
EGY,2018,Sweet potatoes,54.0
EGY,2018,"Tangerines, mandarins, clementines, satsumas",89.473
EGY,2018,Taro (cocoyam),20.0
EGY,2018,Tea,0.0
EGY,2018,Tomatoes,554.812
EGY,2018,Vanilla,0.0
EGY,2018,"Vegetables, fresh nes",57.811
EGY,2018,"Vegetables, leguminous nes",4.298
EGY,2018,Vetches,0.08700000000000001
EGY,2018,"Walnuts, with shell",1.295
EGY,2018,Watermelons,124.22
EGY,2018,Wheat,1798.0330000000001
ESP,2014,"Almonds, with shell",10.526
ESP,2014,"Anise, badian, fennel, coriander",0.0
ESP,2014,Apples,93.119
ESP,2014,Apricots,14.031
ESP,2014,Areca nuts,0.0
ESP,2014,Artichokes,23.428
ESP,2014,Asparagus,5.8340000000000005
ESP,2014,Avocados,15.616
ESP,2014,Bambara beans,0.0
ESP,2014,Bananas,81.135
ESP,2014,Barley,22.155
ESP,2014,"Beans, dry",0.731
ESP,2014,"Beans, green",31.416
ESP,2014,Berries nes,0.429
ESP,2014,Blueberries,1.0030000000000001
ESP,2014,"Brazil nuts, with shell",0.0
ESP,2014,"Broad beans, horse beans, dry",1.836
ESP,2014,Buckwheat,0.0
ESP,2014,Cabbages and other brassicas,15.993
ESP,2014,Canary seed,0.001
ESP,2014,Carobs,1.153
ESP,2014,Carrots and turnips,38.754
ESP,2014,"Cashew nuts, with shell",0.0
ESP,2014,Castor oil seed,0.0
ESP,2014,Cauliflowers and broccoli,60.261
ESP,2014,Cereals nes,1.952
ESP,2014,Cherries,11.946
ESP,2014,"Cherries, sour",0.013000000000000001
ESP,2014,Chestnut,0.868
ESP,2014,Chick peas,1.6500000000000001
ESP,2014,Chicory roots,0.018000000000000002
ESP,2014,"Chillies and peppers, dry",0.0
ESP,2014,"Chillies and peppers, green",116.404
ESP,2014,Cinnamon (cannella),0.0
ESP,2014,Cloves,0.0
ESP,2014,"Cocoa, beans",0.0
ESP,2014,Coconuts,0.0
ESP,2014,"Coffee, green",27.078
ESP,2014,"Cow peas, dry",0.0
ESP,2014,Cranberries,0.0
ESP,2014,Cucumbers and gherkins,78.321
ESP,2014,Currants,0.043000000000000003
ESP,2014,Dates,0.191
ESP,2014,Eggplants (aubergines),22.371000000000002
ESP,2014,"Eggs, hen, in shell",15.88
ESP,2014,"Eggs, other bird, in shell",0.0
ESP,2014,"Fat, cattle",6.776
ESP,2014,"Fat, goats",0.0
ESP,2014,"Fat, pigs",0.0
ESP,2014,"Fat, sheep",0.0
ESP,2014,Figs,3.805
ESP,2014,Fonio,0.0
ESP,2014,"Fruit, citrus nes",0.262
ESP,2014,"Fruit, fresh nes",25.228
ESP,2014,"Fruit, tropical fresh nes",7.501
ESP,2014,Garlic,18.323
ESP,2014,Ginger,0.0
ESP,2014,Gooseberries,0.0
ESP,2014,"Grain, mixed",0.735
ESP,2014,Grapefruit (inc. pomelos),3.2640000000000002
ESP,2014,Grapes,22.316
ESP,2014,"Groundnuts, with shell",0.084
ESP,2014,"Hazelnuts, with shell",0.728
ESP,2014,Hempseed,0.005
ESP,2014,"Honey, natural",1.731
ESP,2014,Kiwi fruit,0.995
ESP,2014,Kola nuts,0.0
ESP,2014,"Leeks, other alliaceous vegetables",4.312
ESP,2014,Lemons and limes,51.967
ESP,2014,Lentils,0.852
ESP,2014,Lettuce and chicory,138.916
ESP,2014,Linseed,0.001
ESP,2014,Lupins,0.14
ESP,2014,Maize,19.743000000000002
ESP,2014,"Maize, green",0.0
ESP,2014,"Mangoes, mangosteens, guavas",0.0
ESP,2014,Maté,0.0
ESP,2014,Meat nes,0.0
ESP,2014,"Meat, ass",0.0
ESP,2014,"Meat, bird nes",0.0
ESP,2014,"Meat, camel",0.0
ESP,2014,"Meat, cattle",0.0
ESP,2014,"Meat, chicken",0.0
ESP,2014,"Meat, duck",0.0
ESP,2014,"Meat, game",0.0
ESP,2014,"Meat, goat",0.0
ESP,2014,"Meat, goose and guinea fowl",0.0
ESP,2014,"Meat, horse",0.0
ESP,2014,"Meat, mule",0.0
ESP,2014,"Meat, pig",0.0
ESP,2014,"Meat, rabbit",0.0
ESP,2014,"Meat, sheep",0.0
ESP,2014,"Meat, turkey",0.0
ESP,2014,"Melons, other (inc.cantaloupes)",82.683
ESP,2014,Melonseed,0.0
ESP,2014,"Milk, whole fresh cow",0.0
ESP,2014,"Milk, whole fresh goat",0.0
ESP,2014,"Milk, whole fresh sheep",0.0
ESP,2014,Millet,0.031
ESP,2014,Mushrooms and truffles,7.140000000000001
ESP,2014,Mustard seed,0.0
ESP,2014,"Nutmeg, mace and cardamoms",0.0
ESP,2014,Nuts nes,0.269
ESP,2014,Oats,39.772
ESP,2014,Offals nes,0.0
ESP,2014,"Offals, edible, cattle",7.484
ESP,2014,"Offals, edible, goats",0.219
ESP,2014,"Offals, horses",0.0
ESP,2014,"Offals, liver chicken",0.0
ESP,2014,"Offals, liver duck",0.0
ESP,2014,"Offals, liver geese",0.0
ESP,2014,"Offals, liver turkeys",0.0
ESP,2014,"Offals, pigs, edible",23.863
ESP,2014,"Offals, sheep,edible",0.0
ESP,2014,Oilseeds nes,0.0
ESP,2014,Olives,308.599
ESP,2014,"Onions, dry",140.88400000000001
ESP,2014,"Onions, shallots, green",2.221
ESP,2014,Oranges,166.495
ESP,2014,Papayas,0.0
ESP,2014,Peaches and nectarines,158.879
ESP,2014,Pears,47.204
ESP,2014,"Peas, dry",9.588000000000001
ESP,2014,"Peas, green",9.988
ESP,2014,Pepper (piper spp.),0.0
ESP,2014,Persimmons,11.673
ESP,2014,Pigeon peas,0.0
ESP,2014,Pineapples,15.332
ESP,2014,Pistachios,0.14100000000000001
ESP,2014,Plantains and others,0.0
ESP,2014,Plums and sloes,23.943
ESP,2014,Poppy seed,0.744
ESP,2014,Potatoes,148.0
ESP,2014,Pulses nes,2.688
ESP,2014,"Pumpkins, squash and gourds",47.946
ESP,2014,Quinces,1.135
ESP,2014,Quinoa,0.0
ESP,2014,Rapeseed,7.055
ESP,2014,Raspberries,0.682
ESP,2014,"Rice, paddy",34.925000000000004
ESP,2014,Roots and tubers nes,0.482
ESP,2014,Rye,2.67
ESP,2014,Safflower seed,0.261
ESP,2014,Sesame seed,0.0
ESP,2014,"Snails, not sea",0.0
ESP,2014,Sorghum,2.25
ESP,2014,Soybeans,20.768
ESP,2014,Spices nes,0.0
ESP,2014,Spinach,6.1370000000000005
ESP,2014,Strawberries,13.906
ESP,2014,Sugar beet,200.262
ESP,2014,Sugar cane,0.014
ESP,2014,Sunflower seed,64.488
ESP,2014,Sweet corn frozen,0.0
ESP,2014,Sweet corn prep or preserved,0.0
ESP,2014,Sweet potatoes,1.881
ESP,2014,"Tangerines, mandarins, clementines, satsumas",113.857
ESP,2014,Taro (cocoyam),0.0
ESP,2014,Tea,0.051000000000000004
ESP,2014,Tomatoes,232.93200000000002
ESP,2014,Triticale,21.23
ESP,2014,Vanilla,0.0
ESP,2014,"Vegetables, fresh nes",59.433
ESP,2014,"Vegetables, leguminous nes",5.639
ESP,2014,Vetches,5.045
ESP,2014,"Walnuts, with shell",0.839
ESP,2014,Watermelons,88.519
ESP,2014,Wheat,29.0
ESP,2014,Yams,0.0
ESP,2014,Yautia (cocoyam),0.0
ESP,2015,"Almonds, with shell",11.353
ESP,2015,"Anise, badian, fennel, coriander",0.0
ESP,2015,Apples,88.35300000000001
ESP,2015,Apricots,15.535
ESP,2015,Areca nuts,0.0
ESP,2015,Artichokes,20.422
ESP,2015,Asparagus,6.76
ESP,2015,Avocados,17.708000000000002
ESP,2015,Bambara beans,0.0
ESP,2015,Bananas,79.927
ESP,2015,Barley,22.586000000000002
ESP,2015,"Beans, dry",0.808
ESP,2015,"Beans, green",28.804000000000002
ESP,2015,Berries nes,0.429
ESP,2015,Blueberries,1.0030000000000001
ESP,2015,"Brazil nuts, with shell",0.0
ESP,2015,"Broad beans, horse beans, dry",3.09
ESP,2015,Buckwheat,0.0
ESP,2015,Cabbages and other brassicas,17.661
ESP,2015,Canary seed,0.001
ESP,2015,Carobs,0.851
ESP,2015,Carrots and turnips,42.46
ESP,2015,"Cashew nuts, with shell",0.0
ESP,2015,Castor oil seed,0.0
ESP,2015,Cauliflowers and broccoli,61.343
ESP,2015,Cereals nes,1.72
ESP,2015,Cherries,9.564
ESP,2015,"Cherries, sour",0.02
ESP,2015,Chestnut,0.883
ESP,2015,Chick peas,1.29
ESP,2015,Chicory roots,0.019
ESP,2015,"Chillies and peppers, dry",0.0
ESP,2015,"Chillies and peppers, green",113.99600000000001
ESP,2015,Cinnamon (cannella),0.0
ESP,2015,Cloves,0.0
ESP,2015,"Cocoa, beans",0.0
ESP,2015,Coconuts,0.0
ESP,2015,"Coffee, green",27.865000000000002
ESP,2015,"Cow peas, dry",0.0
ESP,2015,Cranberries,0.0
ESP,2015,Cucumbers and gherkins,71.327
ESP,2015,Currants,0.043000000000000003
ESP,2015,Dates,0.14
ESP,2015,Eggplants (aubergines),24.579
ESP,2015,"Eggs, hen, in shell",16.242
ESP,2015,"Eggs, other bird, in shell",0.0
ESP,2015,"Fat, cattle",7.25
ESP,2015,"Fat, goats",0.0
ESP,2015,"Fat, pigs",0.0
ESP,2015,"Fat, sheep",0.0
ESP,2015,Figs,3.47
ESP,2015,Fonio,0.0
ESP,2015,"Fruit, citrus nes",0.23800000000000002
ESP,2015,"Fruit, fresh nes",25.244
ESP,2015,"Fruit, tropical fresh nes",11.957
ESP,2015,Garlic,18.38
ESP,2015,Ginger,0.0
ESP,2015,Gooseberries,0.001
ESP,2015,"Grain, mixed",0.735
ESP,2015,Grapefruit (inc. pomelos),3.419
ESP,2015,Grapes,20.775000000000002
ESP,2015,"Groundnuts, with shell",0.107
ESP,2015,"Hazelnuts, with shell",0.614
ESP,2015,Hempseed,0.008
ESP,2015,"Honey, natural",1.799
ESP,2015,Kiwi fruit,1.0070000000000001
ESP,2015,Kola nuts,0.0
ESP,2015,"Leeks, other alliaceous vegetables",4.413
ESP,2015,Lemons and limes,42.227000000000004
ESP,2015,Lentils,1.12
ESP,2015,Lettuce and chicory,143.208
ESP,2015,Linseed,0.001
ESP,2015,Lupins,0.155
ESP,2015,Maize,20.489
ESP,2015,"Maize, green",0.0
ESP,2015,"Mangoes, mangosteens, guavas",0.0
ESP,2015,Maté,0.0
ESP,2015,Meat nes,0.0
ESP,2015,"Meat, ass",0.0
ESP,2015,"Meat, bird nes",0.0
ESP,2015,"Meat, camel",0.0
ESP,2015,"Meat, cattle",0.0
ESP,2015,"Meat, chicken",0.0
ESP,2015,"Meat, duck",0.0
ESP,2015,"Meat, game",0.0
ESP,2015,"Meat, goat",0.0
ESP,2015,"Meat, goose and guinea fowl",0.0
ESP,2015,"Meat, horse",0.0
ESP,2015,"Meat, mule",0.0
ESP,2015,"Meat, pig",0.0
ESP,2015,"Meat, rabbit",0.0
ESP,2015,"Meat, sheep",0.0
ESP,2015,"Meat, turkey",0.0
ESP,2015,"Melons, other (inc.cantaloupes)",76.496
ESP,2015,Melonseed,0.0
ESP,2015,"Milk, whole fresh cow",0.0
ESP,2015,"Milk, whole fresh goat",0.0
ESP,2015,"Milk, whole fresh sheep",0.0
ESP,2015,Millet,0.028
ESP,2015,Mushrooms and truffles,10.425
ESP,2015,Mustard seed,0.0
ESP,2015,"Nutmeg, mace and cardamoms",0.0
ESP,2015,Nuts nes,0.266
ESP,2015,Oats,17.922
ESP,2015,Offals nes,0.0
ESP,2015,"Offals, edible, cattle",8.007
ESP,2015,"Offals, edible, goats",0.231
ESP,2015,"Offals, horses",0.0
ESP,2015,"Offals, liver chicken",0.0
ESP,2015,"Offals, liver duck",0.0
ESP,2015,"Offals, liver geese",0.0
ESP,2015,"Offals, liver turkeys",0.0
ESP,2015,"Offals, pigs, edible",25.87
ESP,2015,"Offals, sheep,edible",0.0
ESP,2015,Oilseeds nes,0.0
ESP,2015,Olives,402.47700000000003
ESP,2015,"Onions, dry",126.998
ESP,2015,"Onions, shallots, green",2.352
ESP,2015,Oranges,139.857
ESP,2015,Papayas,0.0
ESP,2015,Peaches and nectarines,159.70600000000002
ESP,2015,Pears,40.924
ESP,2015,"Peas, dry",9.119
ESP,2015,"Peas, green",8.555
ESP,2015,Pepper (piper spp.),0.0
ESP,2015,Persimmons,12.805
ESP,2015,Pigeon peas,0.0
ESP,2015,Pineapples,14.385
ESP,2015,Pistachios,0.14
ESP,2015,Plantains and others,0.0
ESP,2015,Plums and sloes,22.47
ESP,2015,Poppy seed,0.812
ESP,2015,Potatoes,154.562
ESP,2015,Pulses nes,3.255
ESP,2015,"Pumpkins, squash and gourds",57.603
ESP,2015,Quinces,1.075
ESP,2015,Quinoa,0.0
ESP,2015,Rapeseed,0.629
ESP,2015,Raspberries,0.797
