ISO,Year,TLA
ALB,1988,2740.0
ALB,1989,2740.0
ALB,1990,2740.0
ALB,1991,2740.0
ALB,1992,2740.0
ALB,1993,2740.0
ALB,1994,2740.0
ALB,1995,2740.0
ALB,1996,2740.0
ALB,1997,2740.0
ALB,1998,2740.0
ALB,1999,2740.0
ALB,2000,2740.0
ALB,2001,2740.0
ALB,2002,2740.0
ALB,2003,2740.0
ALB,2004,2740.0
ALB,2005,2740.0
ALB,2006,2740.0
ALB,2007,2740.0
ALB,2008,2740.0
ALB,2009,2740.0
ALB,2010,2740.0
ALB,2011,2740.0
ALB,2012,2740.0
ALB,2013,2740.0
ALB,2014,2740.0
ALB,2015,2740.0
ALB,2016,2740.0
ALB,2017,2740.0
ALB,2018,2740.0
AND,1961,47.0
AND,1962,47.0
AND,1963,47.0
AND,1964,47.0
AND,1965,47.0
AND,1966,47.0
AND,1967,47.0
AND,1968,47.0
AND,1969,47.0
AND,1970,47.0
AND,1971,47.0
AND,1972,47.0
AND,1973,47.0
AND,1974,47.0
AND,1975,47.0
AND,1976,47.0
AND,1977,47.0
AND,1978,47.0
AND,1979,47.0
AND,1980,47.0
AND,1981,47.0
AND,1982,47.0
AND,1983,47.0
AND,1984,47.0
AND,1985,47.0
AND,1986,47.0
AND,1987,47.0
AND,1988,47.0
AND,1989,47.0
AND,1990,47.0
AND,1991,47.0
AND,1992,47.0
AND,1993,47.0
AND,1994,47.0
AND,1995,47.0
AND,1996,47.0
AND,1997,47.0
AND,1998,47.0
AND,1999,47.0
AND,2000,47.0
AND,2001,47.0
AND,2002,47.0
AND,2003,47.0
AND,2004,47.0
AND,2005,47.0
AND,2006,47.0
AND,2007,47.0
AND,2008,47.0
AND,2009,47.0
AND,2010,47.0
AND,2011,47.0
AND,2012,47.0
AND,2013,47.0
AND,2014,47.0
AND,2015,47.0
AND,2016,47.0
AND,2017,47.0
AND,2018,47.0
ARE,1961,7102.0
ARE,1962,7102.0
ARE,1963,7102.0
ARE,1964,7102.0
ARE,1965,7102.0
ARE,1966,7102.0
ARE,1967,7102.0
ARE,1968,7102.0
ARE,1969,7102.0
ARE,1970,7102.0
ARE,1971,7102.0
ARE,1972,7102.0
ARE,1973,7102.0
ARE,1974,7102.0
ARE,1975,7102.0
ARE,1976,7102.0
ARE,1977,7102.0
ARE,1978,7102.0
ARE,1979,7102.0
ARE,1980,7102.0
ARE,1981,7102.0
ARE,1982,7102.0
ARE,1983,7102.0
ARE,1984,7102.0
ARE,1985,7102.0
ARE,1986,7102.0
ARE,1987,7102.0
ARE,1988,7102.0
ARE,1989,7102.0
ARE,1990,7102.0
ARE,1991,7102.0
ARE,1992,7102.0
ARE,1993,7102.0
ARE,1994,7102.0
ARE,1995,7102.0
ARE,1996,7102.0
ARE,1997,7102.0
ARE,1998,7102.0
ARE,1999,7102.0
ARE,2000,7102.0
ARE,2001,7102.0
ARE,2002,7102.0
ARE,2003,7102.0
ARE,2004,7102.0
ARE,2005,7102.0
ARE,2006,7102.0
ARE,2007,7102.0
ARE,2008,7102.0
ARE,2009,7102.0
ARE,2010,7102.0
ARE,2011,7102.0
ARE,2012,7102.0
ARE,2013,7102.0
ARE,2014,7102.0
ARE,2015,7102.0
ARE,2016,7102.0
ARE,2017,7102.0
ARE,2018,7102.0
ARG,1961,273669.0
ARG,1962,273669.0
ARG,1963,273669.0
ARG,1964,273669.0
ARG,1965,273669.0
ARG,1966,273669.0
ARG,1967,273669.0
ARG,1968,273669.0
ARG,1969,273669.0
ARG,1970,273669.0
ARG,1971,273669.0
ARG,1972,273669.0
ARG,1973,273669.0
ARG,1974,273669.0
ARG,1975,273669.0
ARG,1976,273669.0
ARG,1977,273669.0
ARG,1978,273669.0
ARG,1979,273669.0
ARG,1980,273669.0
ARG,1981,273669.0
ARG,1982,273669.0
ARG,1983,273669.0
ARG,1984,273669.0
ARG,1985,273669.0
ARG,1986,273669.0
ARG,1987,273669.0
ARG,1988,273669.0
ARG,1989,273669.0
ARG,1990,273669.0
ARG,1991,273669.0
ARG,1992,273669.0
ARG,1993,273669.0
ARG,1994,273669.0
ARG,1995,273669.0
ARG,1996,273669.0
ARG,1997,273669.0
ARG,1998,273669.0
ARG,1999,273669.0
ARG,2000,273669.0
ARG,2001,273669.0
ARG,2002,273669.0
ARG,2003,273669.0
ARG,2004,273669.0
ARG,2005,273669.0
ARG,2006,273669.0
ARG,2007,273669.0
ARG,2008,273669.0
ARG,2009,273669.0
ARG,2010,273669.0
ARG,2011,273669.0
ARG,2012,273669.0
ARG,2013,273669.0
ARG,2014,273669.0
ARG,2015,273669.0
ARG,2016,273669.0
ARG,2017,273669.0
ARG,2018,273669.0
ARM,1992,2847.0
ARM,1993,2847.0
ARM,1994,2847.0
ARM,1995,2847.0
ARM,1996,2847.0
ARM,1997,2847.0
ARM,1998,2847.0
ARM,1999,2847.0
ARM,2000,2847.0
ARM,2001,2847.0
ARM,2002,2847.0
ARM,2003,2847.0
ARM,2004,2847.0
ARM,2005,2847.0
ARM,2006,2847.0
ARM,2007,2847.0
ARM,2008,2847.0
ARM,2009,2847.0
ARM,2010,2847.0
ARM,2011,2847.0
ARM,2012,2847.0
ARM,2013,2847.0
ARM,2014,2847.0
ARM,2015,2847.0
ARM,2016,2847.0
ARM,2017,2847.0
ARM,2018,2847.0
ASM,1961,20.0
ASM,1962,20.0
ASM,1963,20.0
ASM,1964,20.0
ASM,1965,20.0
ASM,1966,20.0
ASM,1967,20.0
ASM,1968,20.0
ASM,1969,20.0
ASM,1970,20.0
ASM,1971,20.0
ASM,1972,20.0
ASM,1973,20.0
ASM,1974,20.0
ASM,1975,20.0
ASM,1976,20.0
ASM,1977,20.0
ASM,1978,20.0
ASM,1979,20.0
ASM,1980,20.0
ASM,1981,20.0
ASM,1982,20.0
ASM,1983,20.0
ASM,1984,20.0
ASM,1985,20.0
ASM,1986,20.0
ASM,1987,20.0
ASM,1988,20.0
ASM,1989,20.0
ASM,1990,20.0
ASM,1991,20.0
ASM,1992,20.0
ASM,1993,20.0
ASM,1994,20.0
ASM,1995,20.0
ASM,1996,20.0
ASM,1997,20.0
ASM,1998,20.0
ASM,1999,20.0
ASM,2000,20.0
ASM,2001,20.0
ASM,2002,20.0
ASM,2003,20.0
ASM,2004,20.0
ASM,2005,20.0
ASM,2006,20.0
ASM,2007,20.0
ASM,2008,20.0
ASM,2009,20.0
ASM,2010,20.0
ASM,2011,20.0
ASM,2012,20.0
ASM,2013,20.0
ASM,2014,20.0
ASM,2015,20.0
ASM,2016,20.0
ASM,2017,20.0
ASM,2018,20.0
ATG,1961,44.0
ATG,1962,44.0
ATG,1963,44.0
ATG,1964,44.0
ATG,1965,44.0
ATG,1966,44.0
ATG,1967,44.0
ATG,1968,44.0
ATG,1969,44.0
ATG,1970,44.0
ATG,1971,44.0
ATG,1972,44.0
ATG,1973,44.0
ATG,1974,44.0
ATG,1975,44.0
ATG,1976,44.0
ATG,1977,44.0
ATG,1978,44.0
ATG,1979,44.0
ATG,1980,44.0
ATG,1981,44.0
