ISO,Year,FL
ALB,1996,777.1
ALB,1997,775.15
ALB,1998,773.2
ALB,1999,771.25
ALB,2000,769.3
ALB,2001,770.577
ALB,2002,771.854
ALB,2003,773.131
ALB,2004,774.408
ALB,2005,775.685
ALB,2006,776.962
ALB,2007,778.239
ALB,2008,779.516
ALB,2009,780.793
ALB,2010,782.07
ALB,2011,783.4935
ALB,2012,784.917
ALB,2013,786.3405
ALB,2014,787.764
ALB,2015,789.1875
ALB,2016,789.18
ALB,2017,788.9025
ALB,2018,788.9
AND,1961,0.0
AND,1962,0.0
AND,1963,0.0
AND,1964,0.0
AND,1965,0.0
AND,1966,0.0
AND,1967,0.0
AND,1968,0.0
AND,1969,0.0
AND,1970,0.0
AND,1971,0.0
AND,1972,0.0
AND,1973,0.0
AND,1974,0.0
AND,1975,0.0
AND,1976,0.0
AND,1977,0.0
AND,1978,0.0
AND,1979,0.0
AND,1980,0.0
AND,1981,0.0
AND,1982,0.0
AND,1983,0.0
AND,1984,0.0
AND,1985,0.0
AND,1986,0.0
AND,1987,0.0
AND,1988,0.0
AND,1989,0.0
AND,1990,16.0
AND,1991,16.0
AND,1992,16.0
AND,1993,16.0
AND,1994,16.0
AND,1995,16.0
AND,1996,16.0
AND,1997,16.0
AND,1998,16.0
AND,1999,16.0
AND,2000,16.0
AND,2001,16.0
AND,2002,16.0
AND,2003,16.0
AND,2004,16.0
AND,2005,16.0
AND,2006,16.0
AND,2007,16.0
AND,2008,16.0
AND,2009,16.0
AND,2010,16.0
AND,2011,16.0
AND,2012,16.0
AND,2013,16.0
AND,2014,16.0
AND,2015,16.0
AND,2016,16.0
AND,2017,16.0
AND,2018,16.0
ARE,1961,0.0
ARE,1962,0.0
ARE,1963,0.0
ARE,1964,0.0
ARE,1965,0.0
ARE,1966,0.0
ARE,1967,0.0
ARE,1968,0.0
ARE,1969,0.0
ARE,1970,0.0
ARE,1971,0.0
ARE,1972,0.0
ARE,1973,0.0
ARE,1974,0.0
ARE,1975,0.0
ARE,1976,0.0
ARE,1977,0.0
ARE,1978,0.0
ARE,1979,0.0
ARE,1980,0.0
ARE,1981,0.0
ARE,1982,0.0
ARE,1983,0.0
ARE,1984,0.0
ARE,1985,0.0
ARE,1986,0.0
ARE,1987,0.0
ARE,1988,0.0
ARE,1989,0.0
ARE,1990,245.0
ARE,1991,251.443
ARE,1992,257.886
ARE,1993,264.329
ARE,1994,270.772
ARE,1995,277.215
ARE,1996,283.658
ARE,1997,290.101
ARE,1998,296.544
ARE,1999,302.987
ARE,2000,309.43
ARE,2001,310.217
ARE,2002,311.004
ARE,2003,311.791
ARE,2004,312.578
ARE,2005,313.365
ARE,2006,314.152
ARE,2007,314.939
ARE,2008,315.726
ARE,2009,316.513
ARE,2010,317.3
ARE,2011,317.3
ARE,2012,317.3
ARE,2013,317.3
ARE,2014,317.3
ARE,2015,317.3
ARE,2016,317.3
ARE,2017,317.3
ARE,2018,317.3
ARG,1961,0.0
ARG,1962,0.0
ARG,1963,0.0
ARG,1964,0.0
ARG,1965,0.0
ARG,1966,0.0
ARG,1967,0.0
ARG,1968,0.0
ARG,1969,0.0
ARG,1970,0.0
ARG,1971,0.0
ARG,1972,0.0
ARG,1973,0.0
ARG,1974,0.0
ARG,1975,0.0
ARG,1976,0.0
ARG,1977,0.0
ARG,1978,0.0
ARG,1979,0.0
ARG,1980,0.0
ARG,1981,0.0
ARG,1982,0.0
ARG,1983,0.0
ARG,1984,0.0
ARG,1985,0.0
ARG,1986,0.0
ARG,1987,0.0
ARG,1988,0.0
ARG,1989,0.0
ARG,1990,35204.0
ARG,1991,35021.4
ARG,1992,34838.8
ARG,1993,34656.2
ARG,1994,34473.6
ARG,1995,34291.0
ARG,1996,34108.4
ARG,1997,33925.8
ARG,1998,33743.2
ARG,1999,33560.6
ARG,2000,33378.0
ARG,2001,33061.6
ARG,2002,32745.2
ARG,2003,32428.8
ARG,2004,32112.4
ARG,2005,31796.0
ARG,2006,31479.6
ARG,2007,31163.2
ARG,2008,30846.8
ARG,2009,30530.4
ARG,2010,30214.0
ARG,2011,29990.6
ARG,2012,29767.2
ARG,2013,29543.8
ARG,2014,29320.4
ARG,2015,29097.0
ARG,2016,29010.0
ARG,2017,28899.0
ARG,2018,28791.0
ARM,1992,334.312
ARM,1993,334.103
ARM,1994,333.894
ARM,1995,333.685
ARM,1996,333.476
ARM,1997,333.267
ARM,1998,333.058
ARM,1999,332.849
ARM,2000,332.64
ARM,2001,332.432
ARM,2002,332.224
ARM,2003,332.016
ARM,2004,331.808
ARM,2005,331.6
ARM,2006,331.392
ARM,2007,331.184
ARM,2008,330.976
ARM,2009,330.768
ARM,2010,330.56
ARM,2011,330.352
ARM,2012,330.144
ARM,2013,329.936
ARM,2014,329.728
ARM,2015,329.52
ARM,2016,329.31
ARM,2017,329.1
ARM,2018,328.89
ASM,1961,0.0
ASM,1962,0.0
ASM,1963,0.0
ASM,1964,0.0
ASM,1965,0.0
ASM,1966,0.0
ASM,1967,0.0
ASM,1968,0.0
ASM,1969,0.0
ASM,1970,0.0
ASM,1971,0.0
ASM,1972,0.0
ASM,1973,0.0
ASM,1974,0.0
ASM,1975,0.0
ASM,1976,0.0
ASM,1977,0.0
ASM,1978,0.0
ASM,1979,0.0
ASM,1980,0.0
ASM,1981,0.0
ASM,1982,0.0
ASM,1983,0.0
ASM,1984,0.0
ASM,1985,0.0
ASM,1986,0.0
ASM,1987,0.0
ASM,1988,0.0
ASM,1989,0.0
ASM,1990,18.07
ASM,1991,18.036
ASM,1992,18.002
ASM,1993,17.968
ASM,1994,17.934
ASM,1995,17.9
ASM,1996,17.866
ASM,1997,17.832
ASM,1998,17.798
ASM,1999,17.764
ASM,2000,17.73
ASM,2001,17.7
ASM,2002,17.67
ASM,2003,17.64
ASM,2004,17.61
ASM,2005,17.58
ASM,2006,17.55
ASM,2007,17.52
ASM,2008,17.49
ASM,2009,17.46
ASM,2010,17.43
ASM,2011,17.4
ASM,2012,17.37
ASM,2013,17.34
ASM,2014,17.31
ASM,2015,17.28
ASM,2016,17.25
ASM,2017,17.22
ASM,2018,17.19
ATG,1961,0.0
