ISO,Year,Item,FIi
AFG,2015,Avocados,0.0
AFG,2015,Bananas,142.518
AFG,2015,Barley,9.198
AFG,2015,"Beans, dry",0.073
AFG,2015,"Beans, green",0.001
AFG,2015,Berries nes,0.002
AFG,2015,"Brazil nuts, with shell",0.0
AFG,2015,"Broad beans, horse beans, dry",0.005
AFG,2015,Buckwheat,0.081
AFG,2015,Cabbages and other brassicas,0.616
AFG,2015,Canary seed,0.0
AFG,2015,Carrots and turnips,0.006
AFG,2015,"Cashew nuts, with shell",0.0
AFG,2015,Castor oil seed,0.06
AFG,2015,Cauliflowers and broccoli,0.011
AFG,2015,Cereals nes,0.034
AFG,2015,Cherries,0.0
AFG,2015,"Cherries, sour",0.0
AFG,2015,Chestnut,0.004
AFG,2015,Chick peas,0.466
AFG,2015,Chicory roots,0.0
AFG,2015,"Chillies and peppers, dry",0.005
AFG,2015,"Chillies and peppers, green",0.005
AFG,2015,Cinnamon (cannella),0.005
AFG,2015,Cloves,0.003
AFG,2015,"Cocoa, beans",0.0
AFG,2015,Coconuts,0.0
AFG,2015,"Coffee, green",0.042
AFG,2015,Cucumbers and gherkins,0.042
AFG,2015,Dates,0.0
AFG,2015,Eggplants (aubergines),0.0
AFG,2015,"Eggs, hen, in shell",36.79
AFG,2015,"Eggs, other bird, in shell",11.632
AFG,2015,"Fat, camels",0.0
AFG,2015,"Fat, cattle",0.0
AFG,2015,"Fat, goats",0.0
AFG,2015,"Fat, sheep",0.0
AFG,2015,Figs,0.0
AFG,2015,"Fruit, citrus nes",27.57
AFG,2015,"Fruit, fresh nes",10.368
AFG,2015,"Fruit, stone nes",0.0
AFG,2015,"Fruit, tropical fresh nes",0.0
AFG,2015,Garlic,0.006
AFG,2015,Ginger,0.017
AFG,2015,Grapefruit (inc. pomelos),0.035
AFG,2015,Grapes,2.036
AFG,2015,"Groundnuts, with shell",0.136
AFG,2015,"Hazelnuts, with shell",0.0
AFG,2015,Hempseed,0.0
AFG,2015,"Honey, natural",0.026000000000000002
AFG,2015,Kiwi fruit,0.008
AFG,2015,"Leeks, other alliaceous vegetables",1.28
AFG,2015,Lemons and limes,0.129
AFG,2015,Lentils,0.28600000000000003
AFG,2015,Lettuce and chicory,0.056
AFG,2015,Linseed,16.64
AFG,2015,Maize,0.0
AFG,2015,"Maize, green",0.001
AFG,2015,"Mangoes, mangosteens, guavas",0.9400000000000001
AFG,2015,Meat nes,0.0
AFG,2015,"Meat, buffalo",1.671
AFG,2015,"Meat, camel",0.0
AFG,2015,"Meat, cattle",12.301
AFG,2015,"Meat, chicken",41.811
AFG,2015,"Meat, duck",0.014
AFG,2015,"Meat, game",0.003
AFG,2015,"Meat, goat",0.026000000000000002
AFG,2015,"Meat, goose and guinea fowl",0.001
AFG,2015,"Meat, pig",0.147
AFG,2015,"Meat, rabbit",0.001
AFG,2015,"Meat, sheep",0.158
AFG,2015,"Meat, turkey",0.192
AFG,2015,"Melons, other (inc.cantaloupes)",0.135
AFG,2015,Melonseed,0.025
AFG,2015,"Milk, whole fresh camel",0.0
AFG,2015,"Milk, whole fresh cow",25.587
AFG,2015,"Milk, whole fresh goat",0.0
AFG,2015,"Milk, whole fresh sheep",0.0
AFG,2015,Millet,0.509
AFG,2015,Mushrooms and truffles,0.007
AFG,2015,Mustard seed,0.0
AFG,2015,"Nutmeg, mace and cardamoms",0.107
AFG,2015,Nuts nes,0.003
AFG,2015,Oats,0.0
AFG,2015,Offals nes,0.001
AFG,2015,"Offals, edible, camels",0.0
AFG,2015,"Offals, edible, cattle",2.396
AFG,2015,"Offals, edible, goats",0.0
AFG,2015,"Offals, liver chicken",0.291
AFG,2015,"Offals, liver geese",0.0
AFG,2015,"Offals, liver turkeys",0.0
AFG,2015,"Offals, pigs, edible",0.033
AFG,2015,"Offals, sheep,edible",3.9210000000000003
AFG,2015,Oilseeds nes,0.001
AFG,2015,Olives,0.0
AFG,2015,"Onions, dry",1.6480000000000001
AFG,2015,Oranges,2.194
AFG,2015,Papayas,0.003
AFG,2015,Peaches and nectarines,0.001
AFG,2015,Pears,0.148
AFG,2015,"Peas, dry",3.387
AFG,2015,"Peas, green",1.064
AFG,2015,Pepper (piper spp.),0.166
AFG,2015,Persimmons,0.027
AFG,2015,Pigeon peas,0.0
AFG,2015,Pineapples,0.036000000000000004
AFG,2015,Pistachios,0.002
AFG,2015,Plantains and others,0.045
AFG,2015,Plums and sloes,0.009000000000000001
AFG,2015,Poppy seed,0.0
AFG,2015,Potatoes,192.155
AFG,2015,Pulses nes,24.351
AFG,2015,"Pumpkins, squash and gourds",0.0
AFG,2015,Quinces,0.0
AFG,2015,Quinoa,0.0
AFG,2015,Rapeseed,0.34
AFG,2015,Raspberries,0.0
AFG,2015,"Rice, paddy",0.0
AFG,2015,Roots and tubers nes,0.0
AFG,2015,Rye,0.0
AFG,2015,Safflower seed,0.02
AFG,2015,Sesame seed,0.002
AFG,2015,Sorghum,0.0
AFG,2015,Soybeans,0.40900000000000003
AFG,2015,Spices nes,0.275
AFG,2015,Spinach,0.0
AFG,2015,Strawberries,0.0
AFG,2015,Sugar beet,0.0
