ISO,Year,GDPC
ABW,1980,15669.6160398263
ABW,1981,15669.6160398263
ABW,1982,15669.6160398263
ABW,1983,15669.6160398263
ABW,1984,15669.6160398263
ABW,1985,15669.6160398263
ABW,1986,15669.6160398263
ABW,1987,18427.6115299095
ABW,1988,22134.0172712515
ABW,1989,24837.9509579621
ABW,1990,25357.7869437251
ABW,1991,26329.3131412118
ABW,1992,26401.9687400419
ABW,1993,26663.2077602359
ABW,1994,27272.3100411519
ABW,1995,26705.1813209964
ABW,1996,26087.7756610939
ABW,1997,27190.5014747821
ABW,1998,27151.9237278694
ABW,1999,26954.404887031
ABW,2000,28417.3842120132
ABW,2001,26966.0548644166
ABW,2002,25508.3027198476
ABW,2003,25469.2876015726
ABW,2004,27005.5294296216
ABW,2005,26979.8853984373
ABW,2006,27046.224230202
ABW,2007,27427.5785719272
ABW,2008,27365.9311941508
ABW,2009,24463.6921995023
ABW,2010,23512.6025956397
ABW,2011,24233.0010815022
ABW,2012,23781.2572983852
ABW,2013,24635.764947531
ABW,2014,24563.2343250816
ABW,2015,25822.2513745534
ABW,2016,26231.0266768348
ABW,2017,26630.2052807325
ABW,2018,26630.2052807325
ABW,2019,26630.2052807325
ABW,2020,26327.380154199654
ABW,2021,26327.380154199654
ABW,2022,26327.380154199654
ABW,2023,26327.380154199654
ABW,2024,26327.380154199654
ABW,2025,26327.380154199654
ABW,2026,26327.380154199654
ABW,2027,26327.380154199654
ABW,2028,26327.380154199654
ABW,2029,26327.380154199654
ABW,2030,26327.380154199654
ABW,2031,26327.380154199654
ABW,2032,26327.380154199654
ABW,2033,26327.380154199654
ABW,2034,26327.380154199654
ABW,2035,26327.380154199654
ABW,2036,26327.380154199654
ABW,2037,26327.380154199654
ABW,2038,26327.380154199654
ABW,2039,26327.380154199654
ABW,2040,26327.380154199654
ABW,2041,26327.380154199654
ABW,2042,26327.380154199654
ABW,2043,26327.380154199654
ABW,2044,26327.380154199654
ABW,2045,26327.380154199654
ABW,2046,26327.380154199654
ABW,2047,26327.380154199654
ABW,2048,26327.380154199654
ABW,2049,26327.380154199654
ABW,2050,26327.380154199654
AFG,1980,330.303552908057
AFG,1981,330.303552908057
AFG,1982,330.303552908057
AFG,1983,330.303552908057
AFG,1984,330.303552908057
AFG,1985,330.303552908057
AFG,1986,330.303552908057
AFG,1987,330.303552908057
AFG,1988,330.303552908057
AFG,1989,330.303552908057
AFG,1990,330.303552908057
AFG,1991,330.303552908057
AFG,1992,330.303552908057
AFG,1993,330.303552908057
AFG,1994,330.303552908057
AFG,1995,330.303552908057
AFG,1996,330.303552908057
AFG,1997,330.303552908057
AFG,1998,330.303552908057
AFG,1999,330.303552908057
AFG,2000,330.303552908057
AFG,2001,330.303552908057
AFG,2002,330.303552908057
AFG,2003,343.080889714587
AFG,2004,333.216684486798
AFG,2005,357.234719908026
AFG,2006,365.284494951006
AFG,2007,405.548979051796
AFG,2008,412.014286663305
AFG,2009,488.300250990155
AFG,2010,543.303041863931
AFG,2011,528.736648057768
AFG,2012,576.190125450699
AFG,2013,587.565090150175
AFG,2014,583.656192833123
AFG,2015,574.184114271259
AFG,2016,571.07377452356
AFG,2017,571.440690906349
AFG,2018,564.609991742901
AFG,2019,573.287551042738
AFG,2020,616.8048727763072
AFG,2021,631.3089267359828
AFG,2022,645.8129806956584
AFG,2023,660.317034655334
AFG,2024,674.8210886150097
AFG,2025,689.3251425746853
AFG,2026,703.8291965343609
AFG,2027,718.3332504940365
AFG,2028,732.8373044537122
AFG,2029,747.3413584133878
AFG,2030,761.8454123730635
AFG,2031,776.349466332739
AFG,2032,790.8535202924147
AFG,2033,805.3575742520903
AFG,2034,819.861628211766
AFG,2035,834.3656821714416
AFG,2036,848.8697361311172
AFG,2037,863.3737900907928
AFG,2038,877.8778440504684
AFG,2039,892.381898010144
AFG,2040,906.8859519698196
AFG,2041,921.3900059294953
AFG,2042,935.8940598891709
AFG,2043,950.3981138488465
AFG,2044,964.9021678085221
AFG,2045,979.4062217681977
AFG,2046,993.9102757278733
AFG,2047,1008.4143296875491
AFG,2048,1022.9183836472246
AFG,2049,1037.4224376069003
AFG,2050,1051.9264915665758
AGO,1980,3193.40386146031
AGO,1981,2947.19411234777
AGO,1982,2844.32188041471
AGO,1983,2859.91920641002
AGO,1984,2925.36676659462
AGO,1985,2922.21685478586
AGO,1986,2902.61784962511
AGO,1987,2916.79393491043
AGO,1988,2989.61658586719
AGO,1989,2889.88585921143
AGO,1990,2697.49077823593
AGO,1991,2635.15554951792
AGO,1992,2401.23365594738
AGO,1993,1767.02533535
AGO,1994,1733.84384399231
AGO,1995,1930.79950949125
AGO,1996,2122.96845868156
AGO,1997,2205.29400017451
AGO,1998,2235.39017194206
AGO,1999,2211.12993969616
AGO,2000,2205.20533780581
AGO,2001,2223.33463308956
AGO,2002,2444.41778235176
AGO,2003,2433.86155040755
AGO,2004,2608.7840447081
AGO,2005,2896.55472912948
AGO,2006,3116.18103865483
AGO,2007,3424.37170191088
AGO,2008,3668.07989214814
AGO,2009,3565.05693638622
AGO,2010,3587.88379824396
AGO,2011,3579.95990738589
AGO,2012,3748.45065461021
AGO,2013,3796.88218936433
AGO,2014,3843.19787714916
AGO,2015,3748.32011771476
AGO,2016,3530.31067153378
AGO,2017,3409.93030259958
AGO,2018,3233.90623484048
AGO,2019,3111.15769874335
AGO,2020,3098.7437077898253
AGO,2021,2973.111262762015
AGO,2022,2847.478817734205
AGO,2023,2721.846372706395
AGO,2024,2596.213927678585
AGO,2025,2470.581482650775
