ISO,Year,EFR
AIA,2020,0.0
AIA,2021,0.0
AIA,2022,0.0
AIA,2023,0.0
AIA,2024,0.0
AIA,2025,0.0
AIA,2026,0.0
AIA,2027,0.0
AIA,2028,0.0
AIA,2029,0.0
AIA,2030,0.0
AIA,2031,0.0
AIA,2032,0.0
AIA,2033,0.0
AIA,2034,0.0
AIA,2035,0.0
AIA,2036,0.0
AIA,2037,0.0
AIA,2038,0.0
AIA,2039,0.0
AIA,2040,0.0
AIA,2041,0.0
AIA,2042,0.0
AIA,2043,0.0
AIA,2044,0.0
AIA,2045,0.0
AIA,2046,0.0
AIA,2047,0.0
AIA,2048,0.0
AIA,2049,0.0
AIA,2050,0.0
ALB,1980,13.56
ALB,1981,13.56
ALB,1982,13.56
ALB,1983,13.56
ALB,1984,13.56
ALB,1985,13.56
ALB,1986,13.56
ALB,1987,13.56
ALB,1988,13.56
ALB,1989,13.56
ALB,1990,13.56
ALB,1991,13.56
ALB,1992,13.56
ALB,1993,13.56
ALB,1994,13.56
ALB,1995,13.56
ALB,1996,13.56
ALB,1997,13.56
ALB,1998,13.56
ALB,1999,13.56
ALB,2000,13.56
ALB,2001,13.56
ALB,2002,13.56
ALB,2003,13.56
ALB,2004,13.56
ALB,2005,13.56
ALB,2006,13.56
ALB,2007,13.56
ALB,2008,13.56
ALB,2009,13.56
ALB,2010,13.56
ALB,2011,13.56
ALB,2012,13.56
ALB,2013,13.56
ALB,2014,13.56
ALB,2015,13.56
ALB,2016,13.56
ALB,2017,13.56
ALB,2018,13.56
ALB,2019,13.56
ALB,2020,13.56
ALB,2021,13.56
ALB,2022,13.56
ALB,2023,13.56
ALB,2024,13.56
ALB,2025,13.56
ALB,2026,13.56
ALB,2027,13.56
ALB,2028,13.56
ALB,2029,13.56
ALB,2030,13.56
ALB,2031,13.56
ALB,2032,13.56
ALB,2033,13.56
ALB,2034,13.56
ALB,2035,13.56
ALB,2036,13.56
ALB,2037,13.56
ALB,2038,13.56
ALB,2039,13.56
ALB,2040,13.56
ALB,2041,13.56
ALB,2042,13.56
ALB,2043,13.56
ALB,2044,13.56
ALB,2045,13.56
ALB,2046,13.56
ALB,2047,13.56
ALB,2048,13.56
ALB,2049,13.56
ALB,2050,13.56
AND,1980,0.188
AND,1981,0.188
AND,1982,0.188
AND,1983,0.188
AND,1984,0.188
AND,1985,0.188
AND,1986,0.188
AND,1987,0.188
AND,1988,0.188
AND,1989,0.188
AND,1990,0.188
AND,1991,0.188
AND,1992,0.188
AND,1993,0.188
AND,1994,0.188
AND,1995,0.188
AND,1996,0.188
AND,1997,0.188
AND,1998,0.188
AND,1999,0.188
AND,2000,0.188
AND,2001,0.188
AND,2002,0.188
AND,2003,0.188
AND,2004,0.188
AND,2005,0.188
AND,2006,0.188
AND,2007,0.188
AND,2008,0.188
AND,2009,0.188
AND,2010,0.188
AND,2011,0.188
AND,2012,0.188
AND,2013,0.188
AND,2014,0.188
AND,2015,0.188
AND,2016,0.188
AND,2017,0.188
AND,2018,0.188
AND,2019,0.188
AND,2020,0.188
AND,2021,0.188
AND,2022,0.188
AND,2023,0.188
AND,2024,0.188
AND,2025,0.188
AND,2026,0.188
AND,2027,0.188
AND,2028,0.188
AND,2029,0.188
AND,2030,0.188
AND,2031,0.188
AND,2032,0.188
AND,2033,0.188
AND,2034,0.188
AND,2035,0.188
AND,2036,0.188
AND,2037,0.188
AND,2038,0.188
AND,2039,0.188
AND,2040,0.188
AND,2041,0.188
AND,2042,0.188
AND,2043,0.188
AND,2044,0.188
AND,2045,0.188
AND,2046,0.188
AND,2047,0.188
AND,2048,0.188
AND,2049,0.188
AND,2050,0.188
ARB,1980,0.0
ARB,1981,0.0
ARB,1982,0.0
ARB,1983,0.0
ARB,1984,0.0
ARB,1985,0.0
ARB,1986,0.0
ARB,1987,0.0
ARB,1988,0.0
ARB,1989,0.0
ARB,1990,0.0
ARB,1991,0.0
ARB,1992,0.0
ARB,1993,0.0
ARB,1994,0.0
ARB,1995,0.0
ARB,1996,0.0
ARB,1997,0.0
ARB,1998,0.0
ARB,1999,0.0
ARB,2000,0.0
ARB,2001,0.0
ARB,2002,0.0
ARB,2003,0.0
ARB,2004,0.0
ARB,2005,0.0
ARB,2006,0.0
ARB,2007,0.0
ARB,2008,0.0
ARB,2009,0.0
ARB,2010,0.0
ARB,2011,0.0
ARB,2012,0.0
ARB,2013,0.0
ARB,2014,0.0
ARB,2015,0.0
ARB,2016,0.0
ARB,2017,0.0
ARB,2018,0.0
ARB,2019,0.0
ARB,2020,0.0
ARB,2021,0.0
ARB,2022,0.0
ARB,2023,0.0
ARB,2024,0.0
ARB,2025,0.0
ARB,2026,0.0
ARB,2027,0.0
ARB,2028,0.0
ARB,2029,0.0
ARB,2030,0.0
ARB,2031,0.0
ARB,2032,0.0
ARB,2033,0.0
ARB,2034,0.0
ARB,2035,0.0
ARB,2036,0.0
ARB,2037,0.0
ARB,2038,0.0
ARB,2039,0.0
ARB,2040,0.0
ARB,2041,0.0
ARB,2042,0.0
ARB,2043,0.0
ARB,2044,0.0
ARB,2045,0.0
ARB,2046,0.0
ARB,2047,0.0
ARB,2048,0.0
ARB,2049,0.0
ARB,2050,0.0
ARE,1980,0.0
ARE,1981,0.0
ARE,1982,0.0
ARE,1983,0.0
