ISO,Year,SW
ALB,1986,23.05
ALB,1987,23.05
ALB,1988,23.05
ALB,1989,23.05
ALB,1990,23.05
ALB,1991,23.05
ALB,1992,23.05
ALB,1993,23.05
ALB,1994,23.05
ALB,1995,23.05
ALB,1996,23.05
ALB,1997,23.05
ALB,1998,23.05
ALB,1999,23.05
ALB,2000,23.05
ALB,2001,23.05
ALB,2002,23.05
ALB,2003,23.05
ALB,2004,23.05
ALB,2005,23.05
ALB,2006,23.05
ALB,2007,23.05
ALB,2008,23.05
ALB,2009,23.05
ALB,2010,23.05
ALB,2011,23.05
ALB,2012,23.05
ALB,2013,23.05
ALB,2014,23.05
ALB,2015,23.05
ALB,2016,23.05
ALB,2017,23.05
ALB,2018,23.05
ALB,2019,23.05
ALB,2020,23.05
ALB,2021,23.05
ALB,2022,23.05
ALB,2023,23.05
ALB,2024,23.05
ALB,2025,23.05
ALB,2026,23.05
ALB,2027,23.05
ALB,2028,23.05
ALB,2029,23.05
ALB,2030,23.05
ALB,2031,23.05
ALB,2032,23.05
ALB,2033,23.05
ALB,2034,23.05
ALB,2035,23.05
ALB,2036,23.05
ALB,2037,23.05
ALB,2038,23.05
ALB,2039,23.05
ALB,2040,23.05
ALB,2041,23.05
ALB,2042,23.05
ALB,2043,23.05
ALB,2044,23.05
ALB,2045,23.05
ALB,2046,23.05
ALB,2047,23.05
ALB,2048,23.05
ALB,2049,23.05
ALB,2050,23.05
AND,1980,0.0
AND,1981,0.0
AND,1982,0.0
AND,1983,0.0
AND,1984,0.0
AND,1985,0.0
AND,1986,0.0
AND,1987,0.0
AND,1988,0.0
AND,1989,0.0
AND,1990,0.0
AND,1991,0.0
AND,1992,0.0
AND,1993,0.0
AND,1994,0.0
AND,1995,0.0
AND,1996,0.0
AND,1997,0.0
AND,1998,0.0
AND,1999,0.0
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
AND,2020,0.0
AND,2021,0.0
AND,2022,0.0
AND,2023,0.0
AND,2024,0.0
AND,2025,0.0
AND,2026,0.0
AND,2027,0.0
AND,2028,0.0
AND,2029,0.0
AND,2030,0.0
AND,2031,0.0
AND,2032,0.0
AND,2033,0.0
AND,2034,0.0
AND,2035,0.0
AND,2036,0.0
AND,2037,0.0
AND,2038,0.0
AND,2039,0.0
AND,2040,0.0
AND,2041,0.0
AND,2042,0.0
AND,2043,0.0
AND,2044,0.0
AND,2045,0.0
AND,2046,0.0
AND,2047,0.0
AND,2048,0.0
AND,2049,0.0
AND,2050,0.0
ARB,1980,0.0
ARB,1981,0.0
ARB,1982,0.0
ARB,1983,0.0
ARB,1984,0.0
ARB,1985,0.0
ARB,1986,0.0
ARB,1987,0.0
ARB,1988,0.0
ARB,1989,0.0
ARB,1990,0.0
ARB,1991,0.0
ARB,1992,0.0
ARB,1993,0.0
ARB,1994,0.0
ARB,1995,0.0
ARB,1996,0.0
ARB,1997,0.0
ARB,1998,0.0
ARB,1999,0.0
ARB,2000,0.0
ARB,2001,0.0
ARB,2002,0.0
ARB,2003,0.0
ARB,2004,0.0
ARB,2005,0.0
ARB,2006,0.0
ARB,2007,0.0
ARB,2008,0.0
ARB,2009,0.0
ARB,2010,0.0
ARB,2011,0.0
ARB,2012,0.0
ARB,2013,0.0
ARB,2014,0.0
ARB,2015,0.0
ARB,2016,0.0
ARB,2017,0.0
ARB,2018,0.0
ARB,2019,0.0
ARB,2020,0.0
ARB,2021,0.0
ARB,2022,0.0
ARB,2023,0.0
ARB,2024,0.0
ARB,2025,0.0
ARB,2026,0.0
ARB,2027,0.0
ARB,2028,0.0
ARB,2029,0.0
ARB,2030,0.0
ARB,2031,0.0
ARB,2032,0.0
ARB,2033,0.0
ARB,2034,0.0
ARB,2035,0.0
ARB,2036,0.0
ARB,2037,0.0
ARB,2038,0.0
ARB,2039,0.0
ARB,2040,0.0
ARB,2041,0.0
ARB,2042,0.0
ARB,2043,0.0
ARB,2044,0.0
ARB,2045,0.0
ARB,2046,0.0
ARB,2047,0.0
ARB,2048,0.0
ARB,2049,0.0
ARB,2050,0.0
ARE,1980,0.15
ARE,1981,0.15
ARE,1982,0.15
ARE,1983,0.15
ARE,1984,0.15
ARE,1985,0.15
ARE,1986,0.15
ARE,1987,0.15
ARE,1988,0.15
ARE,1989,0.15
ARE,1990,0.15
ARE,1991,0.15
ARE,1992,0.15
ARE,1993,0.15
ARE,1994,0.15
ARE,1995,0.15
ARE,1996,0.15
ARE,1997,0.15
ARE,1998,0.15
ARE,1999,0.15
ARE,2000,0.15
ARE,2001,0.15
ARE,2002,0.15
ARE,2003,0.15
ARE,2004,0.15
ARE,2005,0.15
ARE,2006,0.15
ARE,2007,0.15
ARE,2008,0.15
ARE,2009,0.15
ARE,2010,0.15
ARE,2011,0.15
ARE,2012,0.15
ARE,2013,0.15
ARE,2014,0.15
ARE,2015,0.15
ARE,2016,0.15
ARE,2017,0.15
ARE,2018,0.15
ARE,2019,0.15
ARE,2020,0.15
ARE,2021,0.15
ARE,2022,0.15
ARE,2023,0.15
ARE,2024,0.15
ARE,2025,0.15
ARE,2026,0.15
ARE,2027,0.15
ARE,2028,0.15
ARE,2029,0.15
ARE,2030,0.15
ARE,2031,0.15
ARE,2032,0.15
ARE,2033,0.15
ARE,2034,0.15
ARE,2035,0.15
ARE,2036,0.15
ARE,2037,0.15
ARE,2038,0.15
ARE,2039,0.15
ARE,2040,0.15
ARE,2041,0.15
ARE,2042,0.15
ARE,2043,0.15
ARE,2044,0.15
ARE,2045,0.15
ARE,2046,0.15
ARE,2047,0.15
ARE,2048,0.15
ARE,2049,0.15
ARE,2050,0.15
ARG,1980,276.0
ARG,1981,276.0
ARG,1982,276.0
ARG,1983,276.0
ARG,1984,276.0
ARG,1985,276.0
ARG,1986,276.0
ARG,1987,276.0
ARG,1988,276.0
ARG,1989,276.0
ARG,1990,276.0
ARG,1991,276.0
ARG,1992,276.0
ARG,1993,276.0
ARG,1994,276.0
ARG,1995,276.0
ARG,1996,276.0
ARG,1997,276.0
ARG,1998,276.0
ARG,1999,276.0
ARG,2000,276.0
ARG,2001,276.0
ARG,2002,276.0
ARG,2003,276.0
ARG,2004,276.0
ARG,2005,276.0
ARG,2006,276.0
ARG,2007,276.0
ARG,2008,276.0
ARG,2009,276.0
ARG,2010,276.0
ARG,2011,276.0
ARG,2012,276.0
ARG,2013,276.0
ARG,2014,276.0
ARG,2015,276.0
ARG,2016,276.0
ARG,2017,276.0
ARG,2018,276.0
ARG,2019,276.0
ARG,2020,276.0
ARG,2021,276.0
ARG,2022,276.0
ARG,2023,276.0
ARG,2024,276.0
ARG,2025,276.0
ARG,2026,276.0
ARG,2027,276.0
ARG,2028,276.0
ARG,2029,276.0
ARG,2030,276.0
ARG,2031,276.0
ARG,2032,276.0
ARG,2033,276.0
ARG,2034,276.0
ARG,2035,276.0
ARG,2036,276.0
ARG,2037,276.0
ARG,2038,276.0
ARG,2039,276.0
ARG,2040,276.0
ARG,2041,276.0
ARG,2042,276.0
ARG,2043,276.0
ARG,2044,276.0
ARG,2045,276.0
ARG,2046,276.0
ARG,2047,276.0
ARG,2048,276.0
ARG,2049,276.0
ARG,2050,276.0
ARM,1980,3.948
ARM,1981,3.948
ARM,1982,3.948
ARM,1983,3.948
ARM,1984,3.948
ARM,1985,3.948
ARM,1986,3.948
ARM,1987,3.948
ARM,1988,3.948
ARM,1989,3.948
ARM,1990,3.948
ARM,1991,3.948
ARM,1992,3.948
ARM,1993,3.948
ARM,1994,3.948
ARM,1995,3.948
ARM,1996,3.948
ARM,1997,3.948
ARM,1998,3.948
ARM,1999,3.948
ARM,2000,3.948
ARM,2001,3.948
ARM,2002,3.948
ARM,2003,3.948
ARM,2004,3.948
ARM,2005,3.948
ARM,2006,3.948
ARM,2007,3.948
ARM,2008,3.948
ARM,2009,3.948
ARM,2010,3.948
ARM,2011,3.948
ARM,2012,3.948
ARM,2013,3.948
ARM,2014,3.948
ARM,2015,3.948
ARM,2016,3.948
ARM,2017,3.948
ARM,2018,3.948
ARM,2019,3.948
ARM,2020,3.948
ARM,2021,3.948
ARM,2022,3.948
ARM,2023,3.948
ARM,2024,3.948
ARM,2025,3.948
ARM,2026,3.948
ARM,2027,3.948
ARM,2028,3.948
ARM,2029,3.948
ARM,2030,3.948
ARM,2031,3.948
ARM,2032,3.948
ARM,2033,3.948
ARM,2034,3.948
ARM,2035,3.948
ARM,2036,3.948
ARM,2037,3.948
ARM,2038,3.948
ARM,2039,3.948
ARM,2040,3.948
ARM,2041,3.948
ARM,2042,3.948
ARM,2043,3.948
ARM,2044,3.948
ARM,2045,3.948
ARM,2046,3.948
ARM,2047,3.948
ARM,2048,3.948
ARM,2049,3.948
ARM,2050,3.948
ASM,1980,0.0
ASM,1981,0.0
ASM,1982,0.0
ASM,1983,0.0
ASM,1984,0.0
ASM,1985,0.0
ASM,1986,0.0
ASM,1987,0.0
ASM,1988,0.0
ASM,1989,0.0
ASM,1990,0.0
ASM,1991,0.0
ASM,1992,0.0
ASM,1993,0.0
ASM,1994,0.0
ASM,1995,0.0
ASM,1996,0.0
ASM,1997,0.0
ASM,1998,0.0
ASM,1999,0.0
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ASM,2020,0.0
ASM,2021,0.0
ASM,2022,0.0
ASM,2023,0.0
ASM,2024,0.0
ASM,2025,0.0
ASM,2026,0.0
ASM,2027,0.0
ASM,2028,0.0
ASM,2029,0.0
ASM,2030,0.0
ASM,2031,0.0
ASM,2032,0.0
ASM,2033,0.0
ASM,2034,0.0
ASM,2035,0.0
ASM,2036,0.0
ASM,2037,0.0
ASM,2038,0.0
ASM,2039,0.0
ASM,2040,0.0
ASM,2041,0.0
ASM,2042,0.0
ASM,2043,0.0
ASM,2044,0.0
ASM,2045,0.0
ASM,2046,0.0
ASM,2047,0.0
ASM,2048,0.0
ASM,2049,0.0
ASM,2050,0.0
ATF,1980,0.0
ATF,1981,0.0
ATF,1982,0.0
ATF,1983,0.0
ATF,1984,0.0
ATF,1985,0.0
ATF,1986,0.0
ATF,1987,0.0
ATF,1988,0.0
ATF,1989,0.0
ATF,1990,0.0
ATF,1991,0.0
ATF,1992,0.0
ATF,1993,0.0
ATF,1994,0.0
ATF,1995,0.0
ATF,1996,0.0
ATF,1997,0.0
ATF,1998,0.0
ATF,1999,0.0
ATF,2000,0.0
ATF,2001,0.0
ATF,2002,0.0
ATF,2003,0.0
ATF,2004,0.0
ATF,2005,0.0
ATF,2006,0.0
ATF,2007,0.0
ATF,2008,0.0
ATF,2009,0.0
ATF,2010,0.0
ATF,2011,0.0
ATF,2012,0.0
ATF,2013,0.0
ATF,2014,0.0
ATF,2015,0.0
ATF,2016,0.0
ATF,2017,0.0
ATF,2018,0.0
ATF,2019,0.0
ATF,2020,0.0
ATF,2021,0.0
ATF,2022,0.0
ATF,2023,0.0
ATF,2024,0.0
ATF,2025,0.0
ATF,2026,0.0
ATF,2027,0.0
ATF,2028,0.0
ATF,2029,0.0
ATF,2030,0.0
ATF,2031,0.0
ATF,2032,0.0
ATF,2033,0.0
ATF,2034,0.0
ATF,2035,0.0
ATF,2036,0.0
ATF,2037,0.0
ATF,2038,0.0
ATF,2039,0.0
ATF,2040,0.0
ATF,2041,0.0
ATF,2042,0.0
ATF,2043,0.0
ATF,2044,0.0
ATF,2045,0.0
ATF,2046,0.0
ATF,2047,0.0
ATF,2048,0.0
ATF,2049,0.0
ATF,2050,0.0
ATG,1980,0.0
ATG,1981,0.0
ATG,1982,0.0
ATG,1983,0.0
ATG,1984,0.0
ATG,1985,0.0
ATG,1986,0.0
ATG,1987,0.0
ATG,1988,0.0
ATG,1989,0.0
ATG,1990,0.0
ATG,1991,0.0
ATG,1992,0.0
ATG,1993,0.0
ATG,1994,0.0
ATG,1995,0.0
ATG,1996,0.0
ATG,1997,0.0
ATG,1998,0.0
ATG,1999,0.0
ATG,2000,0.0
ATG,2001,0.0
ATG,2002,0.0
ATG,2003,0.0
ATG,2004,0.0
ATG,2005,0.0
ATG,2006,0.0
ATG,2007,0.0
ATG,2008,0.0
ATG,2009,0.0
ATG,2010,0.0
ATG,2011,0.0
ATG,2012,0.0
ATG,2013,0.0
ATG,2014,0.0
ATG,2015,0.0
ATG,2016,0.0
ATG,2017,0.0
ATG,2018,0.0
ATG,2019,0.0
ATG,2020,0.0
ATG,2021,0.0
ATG,2022,0.0
ATG,2023,0.0
ATG,2024,0.0
ATG,2025,0.0
ATG,2026,0.0
ATG,2027,0.0
ATG,2028,0.0
ATG,2029,0.0
ATG,2030,0.0
ATG,2031,0.0
ATG,2032,0.0
ATG,2033,0.0
ATG,2034,0.0
ATG,2035,0.0
ATG,2036,0.0
ATG,2037,0.0
ATG,2038,0.0
ATG,2039,0.0
ATG,2040,0.0
ATG,2041,0.0
ATG,2042,0.0
ATG,2043,0.0
ATG,2044,0.0
ATG,2045,0.0
ATG,2046,0.0
ATG,2047,0.0
ATG,2048,0.0
ATG,2049,0.0
ATG,2050,0.0
AUS,1980,440.0
AUS,1981,440.0
AUS,1982,440.0
AUS,1983,440.0
AUS,1984,440.0
AUS,1985,440.0
AUS,1986,440.0
AUS,1987,440.0
AUS,1988,440.0
AUS,1989,440.0
AUS,1990,440.0
AUS,1991,440.0
AUS,1992,440.0
AUS,1993,440.0
AUS,1994,440.0
AUS,1995,440.0
AUS,1996,440.0
AUS,1997,440.0
AUS,1998,440.0
AUS,1999,440.0
AUS,2000,440.0
AUS,2001,440.0
AUS,2002,440.0
AUS,2003,440.0
AUS,2004,440.0
AUS,2005,440.0
AUS,2006,440.0
AUS,2007,440.0
AUS,2008,440.0
AUS,2009,440.0
AUS,2010,440.0
AUS,2011,440.0
AUS,2012,440.0
AUS,2013,440.0
AUS,2014,440.0
AUS,2015,440.0
AUS,2016,440.0
AUS,2017,440.0
AUS,2018,440.0
AUS,2019,440.0
AUS,2020,440.0
AUS,2021,440.0
AUS,2022,440.0
AUS,2023,440.0
AUS,2024,440.0
AUS,2025,440.0
AUS,2026,440.0
AUS,2027,440.0
AUS,2028,440.0
AUS,2029,440.0
AUS,2030,440.0
AUS,2031,440.0
AUS,2032,440.0
AUS,2033,440.0
AUS,2034,440.0
AUS,2035,440.0
AUS,2036,440.0
AUS,2037,440.0
AUS,2038,440.0
AUS,2039,440.0
AUS,2040,440.0
AUS,2041,440.0
AUS,2042,440.0
AUS,2043,440.0
AUS,2044,440.0
AUS,2045,440.0
AUS,2046,440.0
AUS,2047,440.0
AUS,2048,440.0
AUS,2049,440.0
AUS,2050,440.0
AUT,1980,55.0
AUT,1981,55.0
AUT,1982,55.0
AUT,1983,55.0
AUT,1984,55.0
AUT,1985,55.0
AUT,1986,55.0
AUT,1987,55.0
AUT,1988,55.0
AUT,1989,55.0
AUT,1990,55.0
AUT,1991,55.0
AUT,1992,55.0
AUT,1993,55.0
AUT,1994,55.0
AUT,1995,55.0
AUT,1996,55.0
AUT,1997,55.0
AUT,1998,55.0
AUT,1999,55.0
AUT,2000,55.0
AUT,2001,55.0
AUT,2002,55.0
AUT,2003,55.0
AUT,2004,55.0
AUT,2005,55.0
AUT,2006,55.0
AUT,2007,55.0
AUT,2008,55.0
AUT,2009,55.0
AUT,2010,55.0
AUT,2011,55.0
AUT,2012,55.0
AUT,2013,55.0
AUT,2014,55.0
AUT,2015,55.0
AUT,2016,55.0
AUT,2017,55.0
AUT,2018,55.0
AUT,2019,55.0
AUT,2020,55.0
AUT,2021,55.0
AUT,2022,55.0
AUT,2023,55.0
AUT,2024,55.0
AUT,2025,55.0
AUT,2026,55.0
AUT,2027,55.0
AUT,2028,55.0
AUT,2029,55.0
AUT,2030,55.0
AUT,2031,55.0
AUT,2032,55.0
AUT,2033,55.0
AUT,2034,55.0
AUT,2035,55.0
AUT,2036,55.0
AUT,2037,55.0
AUT,2038,55.0
AUT,2039,55.0
AUT,2040,55.0
AUT,2041,55.0
AUT,2042,55.0
AUT,2043,55.0
AUT,2044,55.0
AUT,2045,55.0
AUT,2046,55.0
AUT,2047,55.0
AUT,2048,55.0
AUT,2049,55.0
AUT,2050,55.0
AZE,1980,5.955
AZE,1981,5.955
AZE,1982,5.955
AZE,1983,5.955
AZE,1984,5.955
AZE,1985,5.955
AZE,1986,5.955
AZE,1987,5.955
AZE,1988,5.955
AZE,1989,5.955
AZE,1990,5.955
AZE,1991,5.955
AZE,1992,5.955
AZE,1993,5.955
AZE,1994,5.955
AZE,1995,5.955
AZE,1996,5.955
AZE,1997,5.955
AZE,1998,5.955
AZE,1999,5.955
AZE,2000,5.955
AZE,2001,5.955
AZE,2002,5.955
AZE,2003,5.955
AZE,2004,5.955
AZE,2005,5.955
AZE,2006,5.955
AZE,2007,5.955
AZE,2008,5.955
AZE,2009,5.955
AZE,2010,5.955
AZE,2011,5.955
AZE,2012,5.955
AZE,2013,5.955
AZE,2014,5.955
AZE,2015,5.955
AZE,2016,5.955
AZE,2017,5.955
AZE,2018,5.955
AZE,2019,5.955
AZE,2020,5.955
AZE,2021,5.955
AZE,2022,5.955
AZE,2023,5.955
AZE,2024,5.955
AZE,2025,5.955
AZE,2026,5.955
AZE,2027,5.955
AZE,2028,5.955
AZE,2029,5.955
AZE,2030,5.955
AZE,2031,5.955
AZE,2032,5.955
AZE,2033,5.955
AZE,2034,5.955
AZE,2035,5.955
AZE,2036,5.955
AZE,2037,5.955
AZE,2038,5.955
AZE,2039,5.955
AZE,2040,5.955
AZE,2041,5.955
AZE,2042,5.955
AZE,2043,5.955
AZE,2044,5.955
AZE,2045,5.955
AZE,2046,5.955
AZE,2047,5.955
AZE,2048,5.955
AZE,2049,5.955
AZE,2050,5.955
BDI,1980,10.06
BDI,1981,10.06
BDI,1982,10.06
BDI,1983,10.06
BDI,1984,10.06
BDI,1985,10.06
BDI,1986,10.06
BDI,1987,10.06
BDI,1988,10.06
BDI,1989,10.06
BDI,1990,10.06
BDI,1991,10.06
BDI,1992,10.06
BDI,1993,10.06
BDI,1994,10.06
BDI,1995,10.06
BDI,1996,10.06
BDI,1997,10.06
BDI,1998,10.06
BDI,1999,10.06
BDI,2000,10.06
BDI,2001,10.06
BDI,2002,10.06
BDI,2003,10.06
BDI,2004,10.06
BDI,2005,10.06
BDI,2006,10.06
BDI,2007,10.06
BDI,2008,10.06
BDI,2009,10.06
BDI,2010,10.06
BDI,2011,10.06
BDI,2012,10.06
BDI,2013,10.06
BDI,2014,10.06
BDI,2015,10.06
BDI,2016,10.06
BDI,2017,10.06
BDI,2018,10.06
BDI,2019,10.06
BDI,2020,10.06
BDI,2021,10.06
BDI,2022,10.06
BDI,2023,10.06
BDI,2024,10.06
BDI,2025,10.06
BDI,2026,10.06
BDI,2027,10.06
BDI,2028,10.06
BDI,2029,10.06
BDI,2030,10.06
BDI,2031,10.06
BDI,2032,10.06
BDI,2033,10.06
BDI,2034,10.06
BDI,2035,10.06
BDI,2036,10.06
BDI,2037,10.06
BDI,2038,10.06
BDI,2039,10.06
BDI,2040,10.06
BDI,2041,10.06
BDI,2042,10.06
BDI,2043,10.06
BDI,2044,10.06
BDI,2045,10.06
BDI,2046,10.06
BDI,2047,10.06
BDI,2048,10.06
BDI,2049,10.06
