ISO,Year,SPIR
AZE,2015,607.0
AZE,2016,607.0
AZE,2017,607.0
AZE,2018,607.0
AZE,2019,607.0
BDI,2000,0.0
BDI,2001,0.0
BDI,2002,0.0
BDI,2003,0.0
BDI,2004,0.0
BDI,2005,0.0
BDI,2006,0.0
BDI,2007,0.0
BDI,2008,0.0
BDI,2009,0.0
BDI,2010,0.0
BDI,2011,0.0
BDI,2012,0.0
BDI,2013,0.0
BDI,2014,0.0
BDI,2015,0.0
BDI,2016,0.0
BDI,2017,0.0
BDI,2018,0.0
BDI,2019,0.0
BEL,2000,0.0
BEL,2001,0.0
BEL,2002,0.0
BEL,2003,0.0
BEL,2004,0.0
BEL,2005,0.0
BEL,2006,0.0
BEL,2007,0.0
BEL,2008,0.0
BEL,2009,0.0
BEL,2010,0.0
BEL,2011,0.0
BEL,2012,0.0
BEL,2013,0.0
BEL,2014,0.0
BEL,2015,0.0
BEL,2016,0.0
BEL,2017,0.0
BEL,2018,0.0
BEL,2019,0.0
BEN,2000,4.57
BEN,2001,4.57
BEN,2002,4.57
BEN,2003,4.57
BEN,2004,4.57
BEN,2005,4.57
BEN,2006,4.57
BEN,2007,4.57
BEN,2008,4.57
BEN,2009,4.57
BEN,2010,4.57
BEN,2011,4.57
BEN,2012,4.57
BEN,2013,4.57
BEN,2014,4.57
BEN,2015,4.57
BEN,2016,4.57
BEN,2017,4.57
BEN,2018,4.57
BEN,2019,4.57
BFA,2000,3.9
BFA,2001,3.9
BFA,2002,3.9
BFA,2003,3.9
BFA,2004,3.9
BFA,2005,3.9
BFA,2006,3.9
BFA,2007,3.9
BFA,2008,3.9
BFA,2009,3.9
BFA,2010,3.9
BFA,2011,3.9
BFA,2012,3.9
BFA,2013,3.9
BFA,2014,3.9
BFA,2015,3.9
BFA,2016,3.9
BFA,2017,3.9
BFA,2018,3.9
BFA,2019,3.9
BGD,2000,0.0
BGD,2001,0.0
BGD,2002,0.0
BGD,2003,0.0
BGD,2004,0.0
BGD,2005,0.0
BGD,2006,0.0
BGD,2007,0.0
BGD,2008,0.0
BGD,2009,0.0
BGD,2010,0.0
BGD,2011,0.0
BGD,2012,0.0
BGD,2013,0.0
BGD,2014,0.0
BGD,2015,0.0
BGD,2016,0.0
BGD,2017,0.0
BGD,2018,0.0
BGD,2019,0.0
BGR,2000,21.0
BGR,2001,21.0
BGR,2002,21.0
BGR,2003,21.0
BGR,2004,21.0
BGR,2005,21.0
BGR,2006,21.0
BGR,2007,21.0
BGR,2008,21.0
BGR,2009,21.0
BGR,2010,21.0
BGR,2011,21.0
BGR,2012,21.0
BGR,2013,21.0
BGR,2014,21.0
BGR,2015,21.0
BGR,2016,21.0
BGR,2017,21.0
BGR,2018,21.0
BGR,2019,21.0
BHR,2000,0.16
BHR,2001,0.16
BHR,2002,0.16
BHR,2003,0.16
BHR,2004,0.16
BHR,2005,0.16
BHR,2006,0.16
BHR,2007,0.16
BHR,2008,0.16
BHR,2009,0.16
BHR,2010,0.16
BHR,2011,0.16
BHR,2012,0.16
BHR,2013,0.16
BHR,2014,0.16
BHR,2015,0.16
BHR,2016,0.16
BHR,2017,0.16
BHR,2018,0.16
BHR,2019,0.16
BHS,2000,0.0
BHS,2001,0.0
BHS,2002,0.0
BHS,2003,0.0
BHS,2004,0.0
BHS,2005,0.0
BHS,2006,0.0
BHS,2007,0.0
BHS,2008,0.0
BHS,2009,0.0
BHS,2010,0.0
BHS,2011,0.0
BHS,2012,0.0
BHS,2013,0.0
BHS,2014,0.0
BHS,2015,0.0
BHS,2016,0.0
BHS,2017,0.0
BHS,2018,0.0
BHS,2019,0.0
BIH,2000,0.0
BIH,2001,0.0
BIH,2002,0.0
BIH,2003,0.0
BIH,2004,0.0
BIH,2005,0.0
BIH,2006,0.0
BIH,2007,0.0
BIH,2008,0.0
BIH,2009,0.0
BIH,2010,0.0
BIH,2011,0.0
BIH,2012,0.0
BIH,2013,0.0
BIH,2014,0.0
BIH,2015,0.0
BIH,2016,0.0
BIH,2017,0.0
BIH,2018,0.0
BIH,2019,0.0
BLR,2000,0.0
BLR,2001,0.0
BLR,2002,0.0
BLR,2003,0.0
BLR,2004,0.0
BLR,2005,0.0
BLR,2006,0.0
BLR,2007,0.0
BLR,2008,0.0
BLR,2009,0.0
BLR,2010,0.0
BLR,2011,0.0
BLR,2012,0.0
BLR,2013,0.0
BLR,2014,0.0
BLR,2015,0.0
BLR,2016,0.0
BLR,2017,0.0
BLR,2018,0.0
BLR,2019,0.0
BLZ,2000,0.0
BLZ,2001,0.0
BLZ,2002,0.0
BLZ,2003,0.0
BLZ,2004,0.0
BLZ,2005,0.0
BLZ,2006,0.0
BLZ,2007,0.0
BLZ,2008,0.0
BLZ,2009,0.0
BLZ,2010,0.0
BLZ,2011,0.0
BLZ,2012,0.0
BLZ,2013,0.0
BLZ,2014,0.0
BLZ,2015,0.0
BLZ,2016,0.0
BLZ,2017,0.0
BLZ,2018,0.0
BLZ,2019,0.0
BMU,2000,0.0
BMU,2001,0.0
BMU,2002,0.0
BMU,2003,0.0
BMU,2004,0.0
BMU,2005,0.0
BMU,2006,0.0
BMU,2007,0.0
BMU,2008,0.0
BMU,2009,0.0
BMU,2010,0.0
BMU,2011,0.0
BMU,2012,0.0
BMU,2013,0.0
BMU,2014,0.0
BMU,2015,0.0
BMU,2016,0.0
BMU,2017,0.0
BMU,2018,0.0
BMU,2019,0.0
BOL,2000,17.6
BOL,2001,17.6
BOL,2002,17.6
BOL,2003,17.6
BOL,2004,17.6
BOL,2005,17.6
BOL,2006,17.6
BOL,2007,17.6
BOL,2008,17.6
BOL,2009,17.6
BOL,2010,17.6
BOL,2011,17.6
BOL,2012,17.6
BOL,2013,17.6
BOL,2014,17.6
BOL,2015,17.6
BOL,2016,17.6
BOL,2017,17.6
BOL,2018,17.6
BOL,2019,17.6
BRA,2000,2413.0
BRA,2001,2413.0
BRA,2002,2413.0
BRA,2003,2413.0
BRA,2004,2413.0
BRA,2005,2413.0
BRA,2006,2413.0
BRA,2007,2413.0
BRA,2008,2413.0
BRA,2009,2413.0
BRA,2010,2446.0
BRA,2011,2446.0
BRA,2012,2446.0
BRA,2013,2446.0
BRA,2014,2446.0
BRA,2015,2446.0
BRA,2016,1029.0
BRA,2017,1029.0
BRA,2018,1029.0
BRA,2019,1029.0
BRB,2000,0.0
BRB,2001,0.0
BRB,2002,0.0
BRB,2003,0.0
BRB,2004,0.0
BRB,2005,0.0
BRB,2006,0.0
BRB,2007,0.0
BRB,2008,0.0
BRB,2009,0.0
BRB,2010,0.0
BRB,2011,0.0
BRB,2012,0.0
BRB,2013,0.0
BRB,2014,0.0
BRB,2015,0.0
BRB,2016,0.0
BRB,2017,0.0
BRB,2018,0.0
BRB,2019,0.0
BRN,2000,0.0
BRN,2001,0.0
BRN,2002,0.0
BRN,2003,0.0
BRN,2004,0.0
BRN,2005,0.0
BRN,2006,0.0
BRN,2007,0.0
BRN,2008,0.0
BRN,2009,0.0
BRN,2010,0.0
BRN,2011,0.0
BRN,2012,0.0
BRN,2013,0.0
BRN,2014,0.0
BRN,2015,0.0
BRN,2016,0.0
BRN,2017,0.0
BRN,2018,0.0
BRN,2019,0.0
BTN,2000,0.0
BTN,2001,0.0
BTN,2002,0.0
BTN,2003,0.0
BTN,2004,0.0
BTN,2005,0.0
BTN,2006,0.0
BTN,2007,0.0
BTN,2008,0.0
BTN,2009,0.0
BTN,2010,0.0
BTN,2011,0.0
BTN,2012,0.0
BTN,2013,0.0
BTN,2014,0.0
BTN,2015,0.0
BTN,2016,0.0
BTN,2017,0.0
BTN,2018,0.0
BTN,2019,0.0
BWA,2000,0.0
BWA,2001,0.0
BWA,2002,0.0
BWA,2003,0.0
BWA,2004,0.0
BWA,2005,0.0
BWA,2006,0.0
BWA,2007,0.0
BWA,2008,0.0
BWA,2009,0.0
BWA,2010,0.0
BWA,2011,0.0
BWA,2012,0.0
BWA,2013,0.0
BWA,2014,0.0
BWA,2015,0.0
BWA,2016,0.0
BWA,2017,0.0
BWA,2018,0.0
BWA,2019,0.0
CAF,2000,0.0
CAF,2001,0.0
