ISO,Year,Item,IRRTECHi
JPN,2017,Surface,0.804
KAZ,2017,Drip,0.009001500250041674
KAZ,2017,Sprinkler,0.025004167361226872
KAZ,2017,Surface,0.9659943323887314
KEN,2017,Drip,0.07878114805312016
KEN,2017,Sprinkler,0.2167002151732852
KEN,2017,Surface,0.7045186367735946
KGZ,2017,Drip,0.0
KGZ,2017,Sprinkler,0.0003916193459956922
KGZ,2017,Surface,0.9996083806540044
KHM,2017,Drip,0.0
KHM,2017,Sprinkler,0.0
KHM,2017,Surface,1.0
KNA,2017,Drip,1.0
KNA,2017,Sprinkler,0.0
KNA,2017,Surface,0.0
KOR,2017,Drip,0.0
KOR,2017,Sprinkler,0.0
KOR,2017,Surface,1.0
KWT,2017,Drip,0.2410901467491166
KWT,2017,Sprinkler,0.12578616352179034
KWT,2017,Surface,0.633123689729093
LAO,2017,Drip,0.1387832266587705
LAO,2017,Sprinkler,0.0
LAO,2017,Surface,0.8612167733412296
LBN,2017,Drip,0.0849742327511111
LBN,2017,Sprinkler,0.2792092915933333
LBN,2017,Surface,0.6358164756555555
LKA,2017,Drip,0.0
LKA,2017,Sprinkler,0.0
LKA,2017,Surface,1.0
MAR,2017,Drip,0.19766803840877914
MAR,2017,Sprinkler,0.08628257887517146
MAR,2017,Surface,0.7160493827160493
MDA,2017,Drip,0.05207532182633995
MDA,2017,Sprinkler,0.4780736869533683
MDA,2017,Surface,0.4698509912202918
MEX,2017,Drip,0.02621541708344533
MEX,2017,Sprinkler,0.05693746771161855
MEX,2017,Surface,0.9168471152049361
MLI,2017,Drip,0.0008140349197038351
MLI,2017,Sprinkler,0.0001975231790457835
MLI,2017,Surface,0.9989884419012505
MLT,2017,Drip,0.6553079947619048
MLT,2017,Sprinkler,0.19659239842857143
MLT,2017,Surface,0.1480996068095238
MMR,2017,Drip,0.0
MMR,2017,Sprinkler,0.0
MMR,2017,Surface,1.0
MNG,2017,Drip,0.0
MNG,2017,Sprinkler,0.7574171029668412
MNG,2017,Surface,0.24258289703315883
MUS,2017,Drip,0.10320009517011658
MUS,2017,Sprinkler,0.8779443254817987
MUS,2017,Surface,0.0188555793480847
MWI,2017,Drip,0.0990963143448292
MWI,2017,Sprinkler,0.7853155626670162
MWI,2017,Surface,0.1155881229881546
MYS,2017,Drip,0.013157894736842105
MYS,2017,Sprinkler,0.005263157894736842
MYS,2017,Surface,0.9815789473684211
NAM,2017,Drip,0.19642726941305141
NAM,2017,Sprinkler,0.3733868027706891
NAM,2017,Surface,0.4301859278162596
NER,2017,Drip,0.006476683937823835
NER,2017,Sprinkler,0.0
NER,2017,Surface,0.9935233160621761
NGA,2017,Drip,0.0
NGA,2017,Sprinkler,0.00020995171110644553
NGA,2017,Surface,0.9997900482888935
NIC,2017,Drip,0.0015455950542440984
NIC,2017,Sprinkler,0.0
NIC,2017,Surface,0.9984544049457559
NPL,2017,Drip,0.0
NPL,2017,Sprinkler,0.0
NPL,2017,Surface,1.0
NZL,2017,Drip,0.06360575790742459
NZL,2017,Sprinkler,0.8054974438548609
NZL,2017,Surface,0.13089679823771458
OMN,2017,Drip,0.23587710604558967
OMN,2017,Sprinkler,0.27254707631318137
OMN,2017,Surface,0.49157581764122893
PAK,2017,Drip,0.0
PAK,2017,Sprinkler,0.0
PAK,2017,Surface,1.0
PAN,2017,Drip,0.0657556541337938
PAN,2017,Sprinkler,0.1909206387001697
PAN,2017,Surface,0.7433237071660366
PER,2017,Drip,0.05074095752722142
PER,2017,Sprinkler,0.0336735445407924
PER,2017,Surface,0.9155854979319862
PHL,2017,Drip,0.0
PHL,2017,Sprinkler,0.0
PHL,2017,Surface,1.0
POL,2017,Drip,0.06914433880668863
POL,2017,Sprinkler,0.043215211754497086
POL,2017,Surface,0.8876404494388144
PRI,2017,Drip,1.0
PRI,2017,Sprinkler,0.0
PRI,2017,Surface,0.0
PRK,2017,Drip,0.0
PRK,2017,Sprinkler,0.0
PRK,2017,Surface,1.0
PRT,2017,Drip,0.43336984300839726
PRT,2017,Sprinkler,0.307776560788609
PRT,2017,Surface,0.25885359620299386
QAT,2017,Drip,0.1093931194433707
QAT,2017,Sprinkler,0.14016235021260146
QAT,2017,Surface,0.7504445303440278
RWA,2017,Drip,0.0
RWA,2017,Sprinkler,0.0
RWA,2017,Surface,1.0
SAU,2017,Drip,0.12222222222222222
SAU,2017,Sprinkler,0.4419753086419753
SAU,2017,Surface,0.43580246913580245
SEN,2017,Drip,0.004799040191961608
SEN,2017,Sprinkler,0.0
SEN,2017,Surface,0.9952009598080385
SLE,2017,Drip,0.0
SLE,2017,Sprinkler,0.0
SLE,2017,Surface,1.0
SLV,2017,Drip,0.0260038917388997
SLV,2017,Sprinkler,0.05501503626393066
SLV,2017,Surface,0.9189810720171697
SOM,2017,Drip,0.0
SOM,2017,Sprinkler,0.0
SOM,2017,Surface,1.0
SSD,2017,Drip,0.0
SSD,2017,Sprinkler,0.023076923076923075
