ISO,Year,WP
AZE,2015,0.21
AZE,2016,0.21
AZE,2017,0.21
AZE,2018,0.21
AZE,2019,0.21
BDI,2000,0.23
BDI,2001,0.23
BDI,2002,0.23
BDI,2003,0.23
BDI,2004,0.23
BDI,2005,0.23
BDI,2006,0.23
BDI,2007,0.23
BDI,2008,0.23
BDI,2009,0.23
BDI,2010,0.23
BDI,2011,0.23
BDI,2012,0.23
BDI,2013,0.23
BDI,2014,0.23
BDI,2015,0.23
BDI,2016,0.23
BDI,2017,0.23
BDI,2018,0.23
BDI,2019,0.23
BEL,2000,2.73
BEL,2001,2.73
BEL,2002,2.73
BEL,2003,2.73
BEL,2004,2.73
BEL,2005,2.73
BEL,2006,2.73
BEL,2007,2.73
BEL,2008,2.73
BEL,2009,2.73
BEL,2010,2.73
BEL,2011,2.73
BEL,2012,2.73
BEL,2013,2.73
BEL,2014,2.73
BEL,2015,2.73
BEL,2016,2.73
BEL,2017,2.73
BEL,2018,2.73
BEL,2019,2.73
BEN,2000,0.79
BEN,2001,0.79
BEN,2002,0.79
BEN,2003,0.79
BEN,2004,0.79
BEN,2005,0.79
BEN,2006,0.79
BEN,2007,0.79
BEN,2008,0.79
BEN,2009,0.79
BEN,2010,0.79
BEN,2011,0.79
BEN,2012,0.79
BEN,2013,0.79
BEN,2014,0.79
BEN,2015,0.79
BEN,2016,0.79
BEN,2017,0.79
BEN,2018,0.79
BEN,2019,0.79
BFA,2000,0.62
BFA,2001,0.62
BFA,2002,0.62
BFA,2003,0.62
BFA,2004,0.62
BFA,2005,0.62
BFA,2006,0.62
BFA,2007,0.62
BFA,2008,0.62
BFA,2009,0.62
BFA,2010,0.62
BFA,2011,0.62
BFA,2012,0.62
BFA,2013,0.62
BFA,2014,0.62
BFA,2015,0.62
BFA,2016,0.62
BFA,2017,0.62
BFA,2018,0.62
BFA,2019,0.62
BGD,2000,0.17
BGD,2001,0.17
BGD,2002,0.17
BGD,2003,0.17
BGD,2004,0.17
BGD,2005,0.17
BGD,2006,0.17
BGD,2007,0.17
BGD,2008,0.17
BGD,2009,0.17
BGD,2010,0.17
BGD,2011,0.17
BGD,2012,0.17
BGD,2013,0.17
BGD,2014,0.17
BGD,2015,0.17
BGD,2016,0.17
BGD,2017,0.17
BGD,2018,0.17
BGD,2019,0.17
BGR,2000,1.15
BGR,2001,1.15
BGR,2002,1.15
BGR,2003,1.15
BGR,2004,1.15
BGR,2005,1.15
BGR,2006,1.15
BGR,2007,1.15
BGR,2008,1.15
BGR,2009,1.15
BGR,2010,1.15
BGR,2011,1.15
BGR,2012,1.15
BGR,2013,1.15
BGR,2014,1.15
BGR,2015,1.15
BGR,2016,1.15
BGR,2017,1.15
BGR,2018,1.15
BGR,2019,1.15
BHR,2000,0.24
BHR,2001,0.24
BHR,2002,0.24
BHR,2003,0.24
BHR,2004,0.24
BHR,2005,0.24
BHR,2006,0.24
BHR,2007,0.24
BHR,2008,0.24
BHR,2009,0.24
BHR,2010,0.24
BHR,2011,0.24
BHR,2012,0.24
BHR,2013,0.24
BHR,2014,0.24
BHR,2015,0.24
BHR,2016,0.24
BHR,2017,0.24
BHR,2018,0.24
BHR,2019,0.24
BHS,2000,3.72
BHS,2001,3.72
BHS,2002,3.72
BHS,2003,3.72
BHS,2004,3.72
BHS,2005,3.72
BHS,2006,3.72
BHS,2007,3.72
BHS,2008,3.72
BHS,2009,3.72
BHS,2010,3.72
BHS,2011,3.72
BHS,2012,3.72
BHS,2013,3.72
BHS,2014,3.72
BHS,2015,3.72
BHS,2016,3.72
BHS,2017,3.72
BHS,2018,3.72
BHS,2019,3.72
BIH,2000,0.75
BIH,2001,0.75
BIH,2002,0.75
BIH,2003,0.75
BIH,2004,0.75
BIH,2005,0.75
BIH,2006,0.75
BIH,2007,0.75
BIH,2008,0.75
BIH,2009,0.75
BIH,2010,0.75
BIH,2011,0.75
BIH,2012,0.75
BIH,2013,0.75
BIH,2014,0.75
BIH,2015,0.75
BIH,2016,0.75
BIH,2017,0.75
BIH,2018,0.75
BIH,2019,0.75
BLR,2000,0.47
BLR,2001,0.47
BLR,2002,0.47
BLR,2003,0.47
BLR,2004,0.47
BLR,2005,0.47
BLR,2006,0.47
BLR,2007,0.47
BLR,2008,0.47
BLR,2009,0.47
BLR,2010,0.47
BLR,2011,0.47
BLR,2012,0.47
BLR,2013,0.47
BLR,2014,0.47
BLR,2015,0.47
BLR,2016,0.47
BLR,2017,0.47
BLR,2018,0.47
BLR,2019,0.47
BLZ,2000,0.0
BLZ,2001,0.0
BLZ,2002,0.0
BLZ,2003,0.0
BLZ,2004,0.0
BLZ,2005,0.0
BLZ,2006,0.0
BLZ,2007,0.0
BLZ,2008,0.0
BLZ,2009,0.0
BLZ,2010,0.0
BLZ,2011,0.0
BLZ,2012,0.0
BLZ,2013,0.0
BLZ,2014,0.0
BLZ,2015,0.0
BLZ,2016,0.0
BLZ,2017,0.0
BLZ,2018,0.0
BLZ,2019,0.0
BMU,2000,7.73
BMU,2001,7.73
BMU,2002,7.73
BMU,2003,7.73
BMU,2004,7.73
BMU,2005,7.73
BMU,2006,7.73
BMU,2007,7.73
BMU,2008,7.73
BMU,2009,7.73
BMU,2010,7.73
BMU,2011,7.73
BMU,2012,7.73
BMU,2013,7.73
BMU,2014,7.73
BMU,2015,7.73
BMU,2016,7.73
BMU,2017,7.73
BMU,2018,7.73
BMU,2019,7.73
BOL,2000,0.36
BOL,2001,0.36
BOL,2002,0.36
BOL,2003,0.36
BOL,2004,0.36
BOL,2005,0.36
BOL,2006,0.36
BOL,2007,0.36
BOL,2008,0.36
BOL,2009,0.36
BOL,2010,0.36
BOL,2011,0.36
BOL,2012,0.36
BOL,2013,0.36
BOL,2014,0.36
BOL,2015,0.36
BOL,2016,0.36
BOL,2017,0.36
BOL,2018,0.36
BOL,2019,0.36
BRA,2000,0.83
BRA,2001,0.83
BRA,2002,0.83
BRA,2003,0.83
BRA,2004,0.83
BRA,2005,0.83
BRA,2006,0.83
BRA,2007,0.83
BRA,2008,0.83
BRA,2009,0.83
BRA,2010,0.83
BRA,2011,0.83
BRA,2012,0.83
BRA,2013,0.83
BRA,2014,0.83
BRA,2015,0.83
BRA,2016,0.83
BRA,2017,0.83
BRA,2018,0.83
BRA,2019,0.83
BRB,2000,1.38
BRB,2001,1.38
BRB,2002,1.38
BRB,2003,1.38
BRB,2004,1.38
BRB,2005,1.38
BRB,2006,1.38
BRB,2007,1.38
BRB,2008,1.38
BRB,2009,1.38
BRB,2010,1.38
BRB,2011,1.38
BRB,2012,1.38
BRB,2013,1.38
BRB,2014,1.38
BRB,2015,1.38
BRB,2016,1.38
BRB,2017,1.38
BRB,2018,1.38
BRB,2019,1.38
BRN,2000,0.08
BRN,2001,0.08
BRN,2002,0.08
BRN,2003,0.08
BRN,2004,0.08
BRN,2005,0.08
BRN,2006,0.08
BRN,2007,0.08
BRN,2008,0.08
BRN,2009,0.08
BRN,2010,0.08
BRN,2011,0.08
BRN,2012,0.08
BRN,2013,0.08
BRN,2014,0.08
BRN,2015,0.08
BRN,2016,0.08
BRN,2017,0.08
BRN,2018,0.08
BRN,2019,0.08
BTN,2000,0.04
