ISO,Year,EW2
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,54.8
AFG,2001,54.8
AFG,2002,54.8
AFG,2003,54.8
AFG,2004,54.8
AFG,2005,54.8
AFG,2006,54.8
AFG,2007,54.8
AFG,2008,54.8
AFG,2009,54.8
AFG,2010,54.8
AFG,2011,54.8
AFG,2012,54.8
AFG,2013,54.8
AFG,2014,54.8
AFG,2015,54.76
AFG,2016,54.76
AFG,2017,54.76
AFG,2018,54.76
AFG,2019,54.76
AGO,2000,1.7
AGO,2001,1.7
AGO,2002,1.7
AGO,2003,1.8
AGO,2004,1.8
AGO,2005,1.9
AGO,2006,1.9
AGO,2007,1.9
AGO,2008,1.9
AGO,2009,1.9
AGO,2010,1.9
AGO,2011,1.9
AGO,2012,1.9
AGO,2013,1.9
AGO,2014,1.9
AGO,2015,1.872
AGO,2016,1.872
AGO,2017,1.872
AGO,2018,1.872
AGO,2019,1.872
ALB,2000,11.0
ALB,2001,10.5
ALB,2002,10.0
ALB,2003,9.5
ALB,2004,8.9
ALB,2005,8.4
ALB,2006,7.7
ALB,2007,7.6
ALB,2008,7.5
ALB,2009,7.5
ALB,2010,7.4
ALB,2011,7.3
ALB,2012,7.2
ALB,2013,7.1
ALB,2014,7.0
ALB,2015,5.53
ALB,2016,5.46
ALB,2017,7.14
ALB,2018,5.76
ALB,2019,5.76
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,1556.0
ARE,2001,1542.8
ARE,2002,1529.6
ARE,2003,1516.4
ARE,2004,1503.2
ARE,2005,1490.0
ARE,2006,1514.5
ARE,2007,1539.0
ARE,2008,1563.5
ARE,2009,1587.9
ARE,2010,1612.4
ARE,2011,1636.9
ARE,2012,1661.4
ARE,2013,1685.9
ARE,2014,1710.4
ARE,2015,1769.09
ARE,2016,1759.33
ARE,2017,1708.0
ARE,2018,1667.33
ARE,2019,1667.33
ARG,2000,8.42
ARG,2001,8.61
ARG,2002,8.8
ARG,2003,8.98
ARG,2004,9.16
ARG,2005,9.35
ARG,2006,9.53
ARG,2007,9.72
ARG,2008,9.9
ARG,2009,10.09
ARG,2010,10.27
ARG,2011,10.5
ARG,2012,10.5
ARG,2013,10.5
ARG,2014,10.5
ARG,2015,10.46
ARG,2016,10.46
ARG,2017,10.46
ARG,2018,10.46
ARG,2019,10.46
ARM,2000,37.7
ARM,2001,34.8
ARM,2002,34.9
ARM,2003,39.9
ARM,2004,50.5
ARM,2005,55.9
ARM,2006,57.0
ARM,2007,60.8
ARM,2008,58.0
ARM,2009,49.7
ARM,2010,42.9
ARM,2011,49.2
ARM,2012,59.3
ARM,2013,59.6
ARM,2014,57.7
ARM,2015,66.01
ARM,2016,64.19
ARM,2017,57.8
ARM,2018,54.75
ARM,2019,54.75
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,7.8
ATG,2001,8.2
ATG,2002,8.6
ATG,2003,9.0
ATG,2004,9.4
ATG,2005,9.8
ATG,2006,9.6
ATG,2007,9.4
ATG,2008,9.2
ATG,2009,9.0
ATG,2010,8.9
ATG,2011,8.7
ATG,2012,8.5
ATG,2013,8.5
ATG,2014,8.5
ATG,2015,8.5
ATG,2016,8.5
ATG,2017,8.5
ATG,2018,8.46
ATG,2019,8.46
AUS,2000,8.7
AUS,2001,8.6
AUS,2002,8.3
AUS,2003,8.0
AUS,2004,7.7
AUS,2005,7.5
AUS,2006,7.0
AUS,2007,6.5
AUS,2008,6.0
AUS,2009,5.5
AUS,2010,5.3
AUS,2011,5.2
AUS,2012,6.2
AUS,2013,7.7
AUS,2014,7.3
AUS,2015,6.74
AUS,2016,6.24
AUS,2017,6.4
AUS,2018,4.66
AUS,2019,4.66
AUT,2000,10.1
AUT,2001,10.1
AUT,2002,10.1
AUT,2003,9.8
AUT,2004,9.7
AUT,2005,9.6
AUT,2006,9.5
AUT,2007,9.4
AUT,2008,9.3
AUT,2009,9.5
AUT,2010,9.6
AUT,2011,9.6
AUT,2012,9.6
AUT,2013,9.6
AUT,2014,9.6
AUT,2015,9.64
AUT,2016,9.64
AUT,2017,9.64
AUT,2018,9.64
AUT,2019,9.64
AZE,2000,49.1
AZE,2001,44.2
AZE,2002,44.5
AZE,2003,47.6
AZE,2004,50.8
AZE,2005,53.2
AZE,2006,54.6
AZE,2007,54.2
AZE,2008,51.8
AZE,2009,50.5
AZE,2010,51.1
AZE,2011,52.0
AZE,2012,52.9
AZE,2013,55.2
AZE,2014,53.5
AZE,2015,54.25
AZE,2016,55.21
AZE,2017,56.44
AZE,2018,53.73
AZE,2019,53.73
BDI,2000,10.5
BDI,2001,10.4
BDI,2002,10.4
BDI,2003,10.3
BDI,2004,10.3
BDI,2005,10.2
BDI,2006,10.2
BDI,2007,10.2
BDI,2008,10.2
BDI,2009,10.2
BDI,2010,10.2
BDI,2011,10.2
BDI,2012,10.2
BDI,2013,10.2
BDI,2014,10.2
BDI,2015,10.19
BDI,2016,10.19
BDI,2017,10.19
BDI,2018,10.19
BDI,2019,10.19
BEL,2000,92.5
BEL,2001,87.6
BEL,2002,82.7
BEL,2003,81.3
BEL,2004,79.9
BEL,2005,78.5
BEL,2006,77.4
BEL,2007,76.3
BEL,2008,75.3
BEL,2009,73.7
BEL,2010,73.1
BEL,2011,62.4
BEL,2012,65.1
BEL,2013,59.3
BEL,2014,56.0
BEL,2015,49.07
BEL,2016,49.07
BEL,2017,49.07
BEL,2018,49.07
BEL,2019,49.07
BEN,2000,1.0
BEN,2001,1.0
BEN,2002,1.0
BEN,2003,1.0
BEN,2004,1.0
BEN,2005,1.0
BEN,2006,1.0
BEN,2007,1.0
BEN,2008,1.0
BEN,2009,1.0
BEN,2010,1.0
BEN,2011,1.0
BEN,2012,1.0
BEN,2013,1.0
BEN,2014,1.0
BEN,2015,0.98
BEN,2016,0.98
BEN,2017,0.98
BEN,2018,0.98
BEN,2019,0.98
BFA,2000,6.5
BFA,2001,6.8
BFA,2002,7.1
BFA,2003,7.3
BFA,2004,7.6
BFA,2005,7.8
BFA,2006,7.8
BFA,2007,7.8
BFA,2008,7.8
BFA,2009,7.8
BFA,2010,7.8
BFA,2011,7.8
BFA,2012,7.8
BFA,2013,7.8
BFA,2014,7.8
BFA,2015,7.81
BFA,2016,7.81
BFA,2017,7.81
BFA,2018,7.81
BFA,2019,7.81
BGD,2000,5.7
BGD,2001,5.7
BGD,2002,5.7
BGD,2003,5.7
BGD,2004,5.7
BGD,2005,5.7
BGD,2006,5.7
BGD,2007,5.7
BGD,2008,5.7
BGD,2009,5.7
BGD,2010,5.7
BGD,2011,5.7
BGD,2012,5.7
BGD,2013,5.7
BGD,2014,5.7
BGD,2015,5.72
BGD,2016,5.72
BGD,2017,5.72
BGD,2018,5.72
BGD,2019,5.72
BGR,2000,45.3
BGR,2001,43.1
BGR,2002,48.7
BGR,2003,48.1
BGR,2004,47.6
BGR,2005,47.0
BGR,2006,46.4
BGR,2007,45.8
BGR,2008,47.5
BGR,2009,45.2
BGR,2010,44.1
BGR,2011,47.2
BGR,2012,42.2
BGR,2013,40.4
BGR,2014,39.7
BGR,2015,41.61
BGR,2016,42.05
BGR,2017,41.82
BGR,2018,40.1
BGR,2019,40.1
BHR,2000,248.9
BHR,2001,234.8
BHR,2002,220.6
BHR,2003,205.8
BHR,2004,201.1
BHR,2005,196.4
BHR,2006,191.8
BHR,2007,187.1
BHR,2008,182.4
BHR,2009,177.8
BHR,2010,173.1
BHR,2011,168.4
BHR,2012,163.7
BHR,2013,159.1
BHR,2014,154.4
BHR,2015,137.16
BHR,2016,133.71
BHR,2017,133.71
BHR,2018,133.71
BHR,2019,133.71
BHS,2000,0.0
BHS,2001,0.0
BHS,2002,0.0
BHS,2003,0.0
BHS,2004,0.0
BHS,2005,0.0
